job,chunk,n_mols,n_ok,n_failed,wall_s,wall_h,start,end
pa_nist_48270241,0,119,119,0,81284,22.6,Sat Feb  7 01:09:09 EST 2026,Sat Feb  7 23:44:10 EST 2026
pa_nist_48270241,1,119,119,0,125610,34.9,Sat Feb  7 01:09:09 EST 2026,Sun Feb  8 12:02:56 EST 2026
pa_nist_48270241,2,119,119,0,128657,35.7,Sat Feb  7 01:09:09 EST 2026,Sun Feb  8 12:53:42 EST 2026
pa_nist_48270241,3,119,119,0,146870,40.8,Sat Feb  7 01:09:09 EST 2026,Sun Feb  8 17:57:15 EST 2026
pa_nist_48270241,4,119,119,0,156522,43.5,Sat Feb  7 01:09:09 EST 2026,Sun Feb  8 20:38:07 EST 2026
pa_nist_48270241,5,119,119,0,169045,47.0,Sat Feb  7 17:39:33 EST 2026,Mon Feb  9 16:37:07 EST 2026
pa_nist_48270241,6,119,119,0,171068,47.5,Sat Feb  7 20:19:00 EST 2026,Mon Feb  9 19:50:20 EST 2026
pa_nist_48270241,7,119,119,0,176994,49.2,Sat Feb  7 20:19:00 EST 2026,Mon Feb  9 21:29:07 EST 2026
pa_nist_48270241,8,119,119,0,192467,53.5,Sat Feb  7 23:44:33 EST 2026,Tue Feb 10 05:12:24 EST 2026
pa_nist_48270241,9,114,114,0,274129,76.1,Sun Feb  8 03:13:44 EST 2026,Wed Feb 11 07:22:47 EST 2026
pa_dft_ds_48361776,0,32,32,0,146820,40.8,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 12:49:07 EST 2026
pa_dft_ds_48361776,1,32,32,0,130293,36.2,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 08:13:40 EST 2026
pa_dft_ds_48361776,2,32,32,0,134833,37.5,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 09:29:21 EST 2026
pa_dft_ds_48361776,3,32,32,0,158876,44.1,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 16:10:04 EST 2026
pa_dft_ds_48361776,4,32,31,1,134211,37.3,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 09:18:59 EST 2026
pa_dft_ds_48361776,5,32,32,0,125024,34.7,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 06:45:51 EST 2026
pa_dft_ds_48361776,6,32,32,0,119428,33.2,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 05:12:36 EST 2026
pa_dft_ds_48361776,7,28,28,0,112687,31.3,Mon Feb  9 20:02:03 EST 2026,Wed Feb 11 03:20:15 EST 2026
pareto_50630236,0,30,30,0,64027,17.8,Fri Apr  3 01:23:03 EDT 2026,Fri Apr  3 19:10:17 EDT 2026
pareto_current_54763379,0,30,30,0,61554,17.0983,Wed Aug 12 18:47:08 EDT 2026,Thu Aug 13 11:53:02 EDT 2026
