mol,wall_s,n_sites,status
mol_00000,5746.8,3,OK
mol_00001,1938.6,2,OK
mol_00002,2559.1,2,OK
mol_00003,7220.8,4,OK
mol_00004,5058.4,4,OK
mol_00005,5990.3,4,OK
mol_00006,5631.5,4,OK
mol_00007,2660.4,2,OK
mol_00008,2681.4,2,OK
mol_00009,3899.3,4,OK
mol_00010,5324.6,3,OK
mol_00011,5227.8,4,OK
mol_00012,8121.7,5,OK
mol_00013,5576.6,3,OK
mol_00014,3999.9,3,OK
mol_00015,3996.6,3,OK
mol_00016,4949.8,3,OK
mol_00017,3963.3,4,OK
mol_00018,2918.8,2,OK
mol_00019,4979.0,4,OK
mol_00020,3655.2,2,OK
mol_00021,4219.3,3,OK
mol_00022,3333.5,3,OK
mol_00023,4469.8,4,OK
mol_00024,2391.4,2,OK
mol_00025,3166.9,4,OK
mol_00026,5848.9,5,OK
mol_00027,4991.3,4,OK
mol_00028,5534.2,4,OK
mol_00029,7861.4,5,OK
mol_00030,2841.6,2,OK
mol_00031,6062.1,3,OK
mol_00032,4109.0,3,OK
mol_00033,2669.4,2,OK
mol_00034,7350.7,4,OK
mol_00035,3456.4,3,OK
mol_00036,3199.8,3,OK
mol_00037,6498.1,3,OK
mol_00038,4800.3,4,OK
mol_00039,4393.5,4,OK
mol_00040,3897.4,3,OK
mol_00041,4657.9,4,OK
mol_00042,4158.3,2,OK
mol_00043,5385.9,4,OK
mol_00044,2698.5,2,OK
mol_00045,2479.3,2,OK
mol_00046,3975.7,2,OK
mol_00047,2738.9,3,OK
mol_00048,4205.0,2,OK
mol_00049,2461.5,2,OK
mol_00050,6036.4,3,OK
mol_00051,7901.8,5,OK
mol_00052,3008.6,2,OK
mol_00053,5948.0,6,OK
mol_00054,8288.8,3,OK
mol_00055,2785.0,2,OK
mol_00056,4530.4,2,OK
mol_00057,1753.8,1,OK
mol_00058,2767.9,2,OK
mol_00059,4507.5,3,OK
mol_00060,3818.5,2,OK
mol_00061,2328.7,2,OK
mol_00062,1530.4,2,OK
mol_00063,1951.5,2,OK
mol_00064,4591.2,4,OK
mol_00065,4403.7,3,OK
mol_00066,3788.4,4,OK
mol_00067,6972.4,4,OK
mol_00068,5513.7,3,OK
mol_00069,4399.0,3,OK
mol_00070,3085.2,2,OK
mol_00071,6311.1,4,OK
mol_00072,3532.1,2,OK
mol_00073,5693.4,5,OK
mol_00074,2002.3,3,OK
mol_00075,4421.9,3,OK
mol_00076,2386.5,2,OK
mol_00077,5427.4,3,OK
mol_00078,4209.6,4,OK
mol_00079,5073.1,4,OK
mol_00080,2193.4,3,OK
mol_00081,1822.3,2,OK
mol_00082,4405.8,4,OK
mol_00083,3011.7,2,OK
mol_00084,3486.7,4,OK
mol_00085,6682.0,4,OK
mol_00086,1981.8,3,OK
mol_00087,5504.2,3,OK
mol_00088,3554.5,2,OK
mol_00089,6020.8,4,OK
mol_00090,4692.7,4,OK
mol_00091,5132.0,4,OK
mol_00092,4398.0,4,OK
mol_00093,3633.3,3,OK
mol_00094,2760.8,3,OK
mol_00095,3742.2,4,OK
mol_00096,6671.1,3,OK
mol_00097,3196.3,3,OK
mol_00098,3441.5,3,OK
mol_00099,5000.0,4,OK
mol_00100,6952.4,4,OK
mol_00101,8315.5,4,OK
mol_00102,6227.7,4,OK
mol_00103,5320.6,4,OK
mol_00104,3885.1,3,OK
mol_00105,4115.3,3,OK
mol_00106,3986.3,3,OK
mol_00107,8140.1,4,OK
mol_00108,3854.1,3,OK
mol_00109,2278.8,2,OK
mol_00110,6499.5,3,OK
mol_00111,5091.5,3,OK
mol_00112,5328.5,4,OK
mol_00113,8222.6,4,OK
mol_00114,5100.2,4,OK
mol_00115,2799.6,2,OK
mol_00116,2613.5,3,OK
mol_00117,3171.2,4,OK
mol_00118,6951.2,5,OK
mol_00119,2761.3,3,OK
mol_00120,6398.6,4,OK
mol_00121,1785.1,2,OK
mol_00122,4851.7,3,OK
mol_00123,6777.2,6,OK
mol_00124,5475.4,4,OK
mol_00125,5019.3,3,OK
mol_00126,3839.8,3,OK
mol_00127,4804.7,4,OK
mol_00128,3984.5,3,OK
mol_00129,3770.2,3,OK
mol_00130,2228.4,2,OK
mol_00131,7937.6,3,OK
mol_00132,4112.0,3,OK
mol_00133,4188.4,3,OK
mol_00134,4438.8,4,OK
mol_00135,4542.6,4,OK
mol_00136,3502.4,5,OK
mol_00137,5839.8,5,OK
mol_00138,2603.5,3,OK
mol_00139,1862.5,2,OK
mol_00140,4654.4,3,OK
mol_00141,3404.2,3,OK
mol_00142,4390.7,4,OK
mol_00143,0.0,0,FAILED
mol_00144,2318.8,2,OK
mol_00145,6648.1,6,OK
mol_00146,3694.9,3,OK
mol_00147,4015.3,3,OK
mol_00148,6668.4,5,OK
mol_00149,3892.4,3,OK
mol_00150,4894.8,4,OK
mol_00151,4566.5,3,OK
mol_00152,3236.6,2,OK
mol_00153,2768.3,2,OK
mol_00154,4247.1,4,OK
mol_00155,3947.1,3,OK
mol_00156,2456.6,2,OK
mol_00157,6501.3,3,OK
mol_00158,7288.5,5,OK
mol_00159,5606.4,5,OK
mol_00160,5438.8,5,OK
mol_00161,2169.5,2,OK
mol_00162,2071.6,4,OK
mol_00163,3660.1,2,OK
mol_00164,4595.0,4,OK
mol_00165,3668.6,3,OK
mol_00166,1730.4,2,OK
mol_00167,4784.8,3,OK
mol_00168,2640.7,2,OK
mol_00169,2913.7,3,OK
mol_00170,5339.3,3,OK
mol_00171,2522.5,2,OK
mol_00172,4066.3,3,OK
mol_00173,3674.2,2,OK
mol_00174,2169.3,3,OK
mol_00175,3561.8,3,OK
mol_00176,7418.3,5,OK
mol_00177,4206.1,2,OK
mol_00178,5523.8,3,OK
mol_00179,2915.3,2,OK
mol_00180,5836.7,5,OK
mol_00181,6294.2,5,OK
mol_00182,4489.4,3,OK
mol_00183,5572.1,4,OK
mol_00184,4134.4,3,OK
mol_00185,4418.6,3,OK
mol_00186,3536.9,3,OK
mol_00187,1251.5,2,OK
mol_00188,5178.7,3,OK
mol_00189,2994.7,2,OK
mol_00190,4075.7,4,OK
