record_id,neutral_smiles,pa_pm7,pa_true,raw_pm7_error
kmeans_63176218,C#CCCCCN[C@@H](C=C)C(=O)O,928.9079,953.1157,-24.207799999999907
kmeans_63176218,C#CCCCCN[C@@H](C=C)C(=O)O,926.4627,956.5506,-30.08789999999999
kmeans_63176218,C#CCCCCN[C@@H](C=C)C(=O)O,847.3782,822.2324,25.14580000000001
kmeans_37417822,C#CCCCn1cc(CN)cn1,928.5352,936.6747,-8.139499999999998
kmeans_37417822,C#CCCCn1cc(CN)cn1,885.3509,942.5422,-57.191299999999956
kmeans_12399016,C#CCN(C)CCCN[C@@H](C)C(C)C,952.4702,959.7237,-7.253500000000031
kmeans_12399016,C#CCN(C)CCCN[C@@H](C)C(C)C,979.5659,979.7625,-0.19659999999998945
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,869.217,901.8133,-32.59630000000004
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,839.3699,841.9674,-2.597499999999968
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,838.5174,756.2304,82.28699999999992
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,913.0639,937.3798,-24.315900000000056
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,942.166,806.4146,135.7514000000001
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,912.5937,968.0054,-55.411699999999996
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,895.4618,830.4342,65.0276
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,926.5859,926.5216,0.06430000000000291
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,806.1444,960.0854,-153.94100000000003
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,886.1284,849.0106,37.1178000000001
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,889.5873,931.2876,-41.70029999999997
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,899.6656,945.1751,-45.5095
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,925.3774,988.1236,-62.746200000000044
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,947.1336,1001.6715,-54.537900000000036
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,875.2228,903.1441,-27.921299999999974
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,870.6986,892.7785,-22.079899999999952
kmeans_86439409,C#C[C@H](CC)N[C@@H]1CC[C@@H](C#N)C1,920.9058,921.9473,-1.0415000000000418
kmeans_86439409,C#C[C@H](CC)N[C@@H]1CC[C@@H](C#N)C1,845.9997,830.8904,15.109299999999962
kmeans_46279368,C#C[C@H](N[C@@H]1CCOC[C@@H]1C)C(C)C,938.1464,933.5277,4.61869999999999
kmeans_46279368,C#C[C@H](N[C@@H]1CCOC[C@@H]1C)C(C)C,966.3918,841.9998,124.39199999999994
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,920.4766,946.8619,-26.38530000000003
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,859.2418,972.3099,-113.06809999999996
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,906.8966,949.8483,-42.95169999999996
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,891.431,876.5003,14.930700000000002
kmeans_48175504,C/C=C/C(=O)NCCN(CC)C(C)C,889.8567,1026.5506,-136.69389999999999
kmeans_48175504,C/C=C/C(=O)NCCN(CC)C(C)C,957.3622,981.7442,-24.381999999999948
kmeans_48175504,C/C=C/C(=O)NCCN(CC)C(C)C,892.7647,917.1199,-24.35520000000008
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,798.4674,819.6528,-21.18539999999996
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,844.0022,893.2047,-49.202499999999986
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,771.6198,801.907,-30.287199999999984
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,828.1735,845.1257,-16.95220000000006
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,915.8068,956.8542,-41.04740000000004
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,907.6532,913.6799,-6.026700000000005
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,1016.1001,1063.3338,-47.23370000000011
