model,feature,importance
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.117452
DecisionTree,protonated_mordred_BCUTs-1l,0.064486
DecisionTree,delta_pm7_cosmo_area,0.045989
DecisionTree,delta_mordred_GATS2c,0.040791
DecisionTree,delta_mordred_ATSC2c,0.033891
DecisionTree,delta_mordred_ATSC5c,0.032399
DecisionTree,delta_mordred_ATS3dv,0.031415
DecisionTree,delta_pm7_total_energy_eV,0.028151
DecisionTree,protonated_mordred_ATSC3se,0.024603
DecisionTree,delta_mordred_MATS8are,0.023997
DecisionTree,delta_pm7_HOMO_LUMO_gap_eV,0.021155
DecisionTree,delta_mordred_GRAVHp,0.019626
DecisionTree,delta_mordred_ATS8m,0.018814
DecisionTree,delta_mordred_ATS8dv,0.018454
DecisionTree,delta_pm7_LUMO_eV,0.017519
DecisionTree,delta_pm7_HOF_kcalmol,0.017348
DecisionTree,protonated_mordred_MINssNH2,0.01673
DecisionTree,delta_mordred_ATSC2s,0.016584
DecisionTree,protonated_pm7_LUMO_eV,0.016548
DecisionTree,delta_mordred_MATS8s,0.016114
DecisionTree,delta_rdkit_VSA_EState1,0.014916
DecisionTree,delta_mordred_PBF,0.013794
DecisionTree,delta_mordred_VSA_EState1,0.012106
DecisionTree,delta_mordred_GATS8pe,0.011791
DecisionTree,delta_mordred_PPSA4,0.011339
DecisionTree,protonated_pm7_dipole_debye,0.010212
DecisionTree,protonated_mordred_MAXssNH2,0.008997
DecisionTree,morgan_283,0.008992
DecisionTree,delta_mordred_ATS1m,0.008564
DecisionTree,delta_mordred_ATSC3se,0.00838
DecisionTree,neutral_mordred_ATSC6d,0.00815
DecisionTree,protonated_mordred_PEOE_VSA11,0.007706
DecisionTree,protonated_rdkit_SlogP_VSA1,0.007688
DecisionTree,delta_mordred_NaaNH,0.007384
DecisionTree,protonated_mordred_Xch-4d,0.007209
DecisionTree,delta_mordred_ATSC3d,0.006953
DecisionTree,neutral_mordred_Xch-4d,0.006476
DecisionTree,delta_mordred_GATS5dv,0.006371
DecisionTree,delta_rdkit_VSA_EState2,0.006273
DecisionTree,delta_mordred_VSA_EState8,0.006123
DecisionTree,delta_mordred_GRAVp,0.006032
DecisionTree,protonated_mordred_AATSC3Z,0.006003
DecisionTree,protonated_mordred_ATSC3Z,0.005511
DecisionTree,protonated_mordred_ATS0Z,0.005339
DecisionTree,morgan_899,0.005319
DecisionTree,delta_mordred_ATSC5i,0.00519
DecisionTree,delta_mordred_MOMI-Y,0.004969
DecisionTree,protonated_mordred_ATSC5i,0.004842
DecisionTree,delta_mordred_SddssS,0.00467
DecisionTree,delta_mordred_ATS8s,0.004404
DecisionTree,delta_mordred_SlogP_VSA2,0.004323
DecisionTree,neutral_mordred_GATS6d,0.004097
DecisionTree,delta_rdkit_PEOE_VSA8,0.004019
DecisionTree,neutral_mordred_MATS1d,0.003936
DecisionTree,protonated_mordred_MOMI-Z,0.003888
DecisionTree,neutral_mordred_SlogP_VSA4,0.003873
DecisionTree,morgan_64,0.003792
DecisionTree,delta_mordred_ATS3s,0.003728
DecisionTree,neutral_mordred_ATSC0m,0.003707
DecisionTree,delta_mordred_SsSH,0.003651
DecisionTree,protonated_mordred_SlogP_VSA1,0.003596
DecisionTree,protonated_mordred_ATSC3pe,0.003516
DecisionTree,protonated_mordred_MINssO,0.003468
DecisionTree,delta_mordred_ATS8i,0.003435
DecisionTree,delta_mordred_ATS5v,0.003336
DecisionTree,delta_rdkit_fr_COO,0.003259
DecisionTree,morgan_235,0.003142
DecisionTree,delta_mordred_VSA_EState2,0.003111
DecisionTree,morgan_953,0.002975
DecisionTree,protonated_mordred_EState_VSA3,0.002934
DecisionTree,neutral_mordred_Xpc-6dv,0.002905
DecisionTree,morgan_448,0.002875
DecisionTree,morgan_908,0.002821
DecisionTree,delta_mordred_WPSA4,0.002702
DecisionTree,delta_mordred_PNSA1,0.002532
DecisionTree,protonated_mordred_nHBAcc,0.002473
DecisionTree,protonated_rdkit_fr_NH1,0.002365
DecisionTree,delta_mordred_PEOE_VSA9,0.002365
DecisionTree,protonated_rdkit_NumHDonors,0.002243
DecisionTree,morgan_114,0.002211
DecisionTree,neutral_mordred_nBondsT,0.00209
DecisionTree,delta_mordred_MATS8c,0.002064
DecisionTree,delta_mordred_ATS6are,0.001882
DecisionTree,morgan_158,0.001844
DecisionTree,delta_mordred_ATS5m,0.001828
DecisionTree,delta_mordred_NaaN,0.001826
DecisionTree,delta_mordred_ATSC3s,0.001696
DecisionTree,delta_rdkit_fr_Nhpyrrole,0.001626
DecisionTree,delta_pm7_dipole_debye,0.00162
DecisionTree,protonated_mordred_GATS3dv,0.001605
DecisionTree,morgan_691,0.001599
DecisionTree,morgan_392,0.001588
DecisionTree,delta_mordred_ATS5dv,0.00158
DecisionTree,morgan_548,0.001421
DecisionTree,neutral_pm7_dipole_x,0.001387
DecisionTree,morgan_141,0.001307
DecisionTree,morgan_570,0.001293
DecisionTree,morgan_874,0.001237
DecisionTree,morgan_927,0.001063
DecisionTree,neutral_mordred_AATSC5v,0.001037
RandomForest,protonated_pm7_HOMO_LUMO_gap_eV,0.117184
RandomForest,delta_pm7_cosmo_area,0.049469
RandomForest,delta_pm7_total_energy_eV,0.043668
RandomForest,protonated_mordred_BCUTs-1l,0.041201
RandomForest,delta_mordred_ATSC2c,0.038223
RandomForest,delta_mordred_GATS2c,0.027317
RandomForest,delta_mordred_ATS3dv,0.02411
RandomForest,delta_pm7_HOF_kcalmol,0.023866
RandomForest,delta_mordred_ATSC5c,0.023315
RandomForest,delta_pm7_HOMO_LUMO_gap_eV,0.022732
RandomForest,protonated_mordred_ATSC3se,0.021823
RandomForest,delta_mordred_ATS8dv,0.021004
RandomForest,delta_mordred_ATSC2s,0.018172
RandomForest,delta_pm7_LUMO_eV,0.017991
RandomForest,delta_mordred_MATS8are,0.016391
RandomForest,protonated_pm7_LUMO_eV,0.016187
RandomForest,delta_mordred_MATS8s,0.01508
RandomForest,delta_rdkit_VSA_EState1,0.014291
RandomForest,delta_mordred_VSA_EState1,0.013853
RandomForest,delta_mordred_GRAVHp,0.013852
RandomForest,delta_mordred_ATS8s,0.013118
RandomForest,delta_mordred_PPSA4,0.012884
RandomForest,delta_mordred_PBF,0.012088
RandomForest,delta_rdkit_VSA_EState2,0.01205
RandomForest,protonated_mordred_MINssNH2,0.010779
RandomForest,delta_mordred_ATSC3d,0.010228
RandomForest,protonated_mordred_ATS0Z,0.009981
RandomForest,delta_mordred_ATS8m,0.008962
RandomForest,delta_mordred_GATS8pe,0.008424
RandomForest,delta_mordred_WPSA4,0.007834
RandomForest,neutral_mordred_MATS1d,0.007094
RandomForest,delta_mordred_GATS5dv,0.007082
RandomForest,delta_mordred_ATSC3se,0.006056
RandomForest,delta_mordred_MOMI-Y,0.006014
RandomForest,delta_mordred_PEOE_VSA9,0.0057
RandomForest,delta_mordred_GRAVp,0.00556
RandomForest,delta_mordred_ATS7s,0.00552
RandomForest,neutral_mordred_ATSC0m,0.005188
RandomForest,delta_mordred_ATSC5i,0.00516
RandomForest,delta_mordred_ATS3s,0.005077
RandomForest,delta_mordred_PNSA1,0.00503
RandomForest,delta_mordred_GATS8are,0.004894
RandomForest,protonated_mordred_MOMI-Z,0.004776
RandomForest,protonated_mordred_ATSC3Z,0.004637
RandomForest,protonated_mordred_PEOE_VSA11,0.004589
RandomForest,protonated_pm7_dipole_debye,0.004545
RandomForest,delta_mordred_GATS3c,0.004544
RandomForest,delta_mordred_SddssS,0.004523
RandomForest,neutral_mordred_GATS6d,0.004402
RandomForest,neutral_mordred_Xpc-6dv,0.004366
RandomForest,neutral_mordred_ATSC6d,0.004353
RandomForest,protonated_mordred_ATSC5i,0.004339
RandomForest,protonated_rdkit_fr_NH1,0.004278
RandomForest,delta_mordred_ATS8i,0.004171
RandomForest,protonated_rdkit_SlogP_VSA1,0.004155
RandomForest,morgan_283,0.004028
