model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
RandomForest,7.1522,0.8813,7.1522,0.8813,78.0
VotingEnsemble,7.158,0.8799,7.158,0.8799,78.0
ExtraTrees,7.28,0.8806,7.28,0.8806,78.0
CatBoost,7.3062,0.7759,7.3062,0.7759,78.0
GradientBoosting,7.4358,0.9376,7.4358,0.9376,78.0
LightGBM,7.4914,0.8376,7.4914,0.8376,78.0
XGBoost,7.5541,0.8853,7.5541,0.8853,78.0
Lasso,7.6273,0.7488,7.6273,0.7488,78.0
ElasticNet,7.6451,0.803,7.6451,0.803,78.0
BayesianRidge,7.6473,0.6954,7.6473,0.6954,78.0
SVR,7.8558,1.0587,7.8558,1.0587,78.0
Ridge,7.9033,0.7191,7.9033,0.7191,78.0
PM7+bias,8.2348,1.017,8.2348,1.017,
AdaBoost,8.3801,0.8281,8.3801,0.8281,78.0
MLP,9.0068,0.8302,9.0068,0.8302,78.0
DecisionTree,9.857,0.7528,9.857,0.7528,78.0
