fold,record_id,n_sites,pa_true,pa_pred_max,pa_pred_mean,pa_pm7_max,pa_pm7_mean,error_max,error_mean,error_pm7_max
1,kmeans_03210311,2,965.9311,980.927934,932.5048605,948.7001,908.2469,3.5843293499044058,-7.9890629780114875,-4.118307839388144
1,kmeans_04320134,5,979.6852,971.716405,931.1181294,945.5639,907.97014,-1.9045877151051624,-11.607808460803051,-8.155186424474191
1,kmeans_05104331,3,954.8786,979.8649445,893.1650141666665,962.2374,848.5214333333333,5.971879660611848,-14.749901011790982,1.7587954110898598
1,kmeans_06698303,3,986.3847,1011.1622875,894.7075538333332,986.5028,854.7633333333333,5.921985540152986,-21.9113638065647,0.028226577437864896
1,kmeans_06826119,4,1037.4547,1020.2341795,987.8871979999999,976.5844,933.90525,-4.115803178776296,-11.84691730401532,-14.54835086042066
1,kmeans_07460908,4,994.4194,988.3361135,976.418356875,947.759,927.536625,-1.45394036806883,-4.302352563336526,-11.152103250478007
1,kmeans_08672997,2,969.4634,954.21688,918.9110055,945.2928,884.74415,-3.6440057361376748,-12.08231226099426,-5.776912045889082
1,kmeans_09915793,4,911.5072,943.060939,917.3904211250001,883.6166,868.575425,7.5415246175908095,1.4061235958413218,-6.666013384321238
1,kmeans_10943521,3,987.0439,974.0277695,924.1395686666666,954.5874,900.7685666666666,-3.1109298518164508,-15.03449601657108,-7.7572896749522
1,kmeans_13645195,4,908.6194,919.957109,908.845746625,876.9149,867.0721249999999,2.709777485659633,0.054098141730378954,-7.577557361376686
1,kmeans_13751043,4,984.6723,959.8292015,907.3154216249999,918.9108,872.6965749999999,-5.937643044933077,-18.488737661328887,-15.717375717017196
1,kmeans_14383554,6,937.7353,944.7126335,914.6641058333335,889.589,851.7063833333333,1.6676227294455033,-5.514147745379207,-11.50724187380497
1,kmeans_15401032,2,1017.1427,963.6413835,959.9526492499999,936.54,934.61425,-12.787121534416832,-13.668750179254317,-19.26450764818356
1,kmeans_15893318,4,971.9517,959.0687415,919.022993875,909.3069,883.018325,-3.0791009799235116,-12.650264370219876,-14.97246653919692
1,kmeans_16669097,3,969.4459,964.1856015,939.6755593333334,958.7952,940.5999333333334,-1.2572415152963885,-7.115282186105807,-2.54557839388146
