record_id,neutral_smiles,pa_pm7,pa_true,raw_pm7_error
kmeans_63176218,C#CCCCCN[C@@H](C=C)C(=O)O,928.9079,956.5506,-27.64269999999999
kmeans_63176218,C#CCCCCN[C@@H](C=C)C(=O)O,926.4627,956.5506,-30.08789999999999
kmeans_63176218,C#CCCCCN[C@@H](C=C)C(=O)O,847.3782,956.5506,-109.17240000000004
kmeans_37417822,C#CCCCn1cc(CN)cn1,928.5352,942.5422,-14.006999999999948
kmeans_37417822,C#CCCCn1cc(CN)cn1,885.3509,942.5422,-57.191299999999956
kmeans_12399016,C#CCN(C)CCCN[C@@H](C)C(C)C,952.4702,979.7625,-27.29230000000007
kmeans_12399016,C#CCN(C)CCCN[C@@H](C)C(C)C,979.5659,979.7625,-0.19659999999998945
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,869.217,937.3798,-68.16280000000006
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,839.3699,937.3798,-98.00990000000002
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,838.5174,937.3798,-98.8624000000001
kmeans_99673236,C#CCNC(=O)c1cnc(S)[nH]1,913.0639,937.3798,-24.315900000000056
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,942.166,968.0054,-25.839399999999955
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,912.5937,968.0054,-55.411699999999996
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,895.4618,968.0054,-72.54359999999997
kmeans_52911111,C#CCOCCNC(=O)[C@@H](CC)CO,926.5859,968.0054,-41.41949999999997
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,806.1444,960.0854,-153.94100000000003
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,886.1284,960.0854,-73.957
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,889.5873,960.0854,-70.49810000000002
kmeans_80564143,C#CCOCCNC(=O)[C@@H](O)CCC,899.6656,960.0854,-60.41980000000001
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,925.3774,1001.6715,-76.29410000000007
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,947.1336,1001.6715,-54.537900000000036
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,875.2228,1001.6715,-126.44870000000003
kmeans_47463441,C#CC[C@@H](CO)Nc1ccnc(C)n1,870.6986,1001.6715,-130.97289999999998
kmeans_86439409,C#C[C@H](CC)N[C@@H]1CC[C@@H](C#N)C1,920.9058,921.9473,-1.0415000000000418
kmeans_86439409,C#C[C@H](CC)N[C@@H]1CC[C@@H](C#N)C1,845.9997,921.9473,-75.94760000000008
kmeans_46279368,C#C[C@H](N[C@@H]1CCOC[C@@H]1C)C(C)C,938.1464,933.5277,4.61869999999999
kmeans_46279368,C#C[C@H](N[C@@H]1CCOC[C@@H]1C)C(C)C,966.3918,933.5277,32.86410000000001
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,920.4766,972.3099,-51.83330000000001
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,859.2418,972.3099,-113.06809999999996
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,906.8966,972.3099,-65.41329999999994
kmeans_44794831,C/C=C/C(=O)N1CC[C@@H]1C(=O)O,891.431,972.3099,-80.87889999999993
kmeans_48175504,C/C=C/C(=O)NCCN(CC)C(C)C,889.8567,1026.5506,-136.69389999999999
kmeans_48175504,C/C=C/C(=O)NCCN(CC)C(C)C,957.3622,1026.5506,-69.1884
kmeans_48175504,C/C=C/C(=O)NCCN(CC)C(C)C,892.7647,1026.5506,-133.78590000000008
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,798.4674,893.2047,-94.7373
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,844.0022,893.2047,-49.202499999999986
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,771.6198,893.2047,-121.58489999999995
kmeans_55709881,C/C=C/COC(=O)C1(C(=O)O)CC1,828.1735,893.2047,-65.03120000000001
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,915.8068,1063.3338,-147.52700000000016
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,907.6532,1063.3338,-155.68060000000014
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,1016.1001,1063.3338,-47.23370000000011
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,915.066,1063.3338,-148.26780000000008
kmeans_68640079,C/N=C(/NC)N1CC[C@@H](C(=O)O)C1,915.5976,1063.3338,-147.73620000000005
kmeans_75232473,C1=CC[C@@H](CNC[C@@H]2COCO2)CC1,946.6286,980.6622,-34.03359999999998
kmeans_75232473,C1=CC[C@@H](CNC[C@@H]2COCO2)CC1,941.6753,980.6622,-38.98689999999999
kmeans_75232473,C1=CC[C@@H](CNC[C@@H]2COCO2)CC1,956.2765,980.6622,-24.38569999999993
kmeans_38897451,C1CC(CNC2CCNCC2)CCN1,949.1212,992.587,-43.465799999999945
kmeans_38897451,C1CC(CNC2CCNCC2)CCN1,944.6631,992.587,-47.9239
kmeans_38897451,C1CC(CNC2CCNCC2)CCN1,920.3413,992.587,-72.24569999999994
kmeans_16669097,C1CC[C@@H](CN[C@@H]2CCOC2)OC1,958.3508,969.4459,-11.095100000000002
kmeans_16669097,C1CC[C@@H](CN[C@@H]2CCOC2)OC1,958.7952,969.4459,-10.650700000000029
kmeans_16669097,C1CC[C@@H](CN[C@@H]2CCOC2)OC1,904.6538,969.4459,-64.7921
kmeans_26948720,C=C(C)CNC(=O)C1(C#N)CCC1,791.4118,862.8798,-71.46800000000007
kmeans_26948720,C=C(C)CNC(=O)C1(C#N)CCC1,841.8741,862.8798,-21.005700000000047
kmeans_26948720,C=C(C)CNC(=O)C1(C#N)CCC1,843.5264,862.8798,-19.35340000000008
kmeans_71327853,C=C(CC)CNc1cc(N)ncn1,858.9696,990.7313,-131.76170000000002
kmeans_71327853,C=C(CC)CNc1cc(N)ncn1,935.4922,990.7313,-55.23910000000001
kmeans_71327853,C=C(CC)CNc1cc(N)ncn1,936.2856,990.7313,-54.44569999999999
kmeans_71327853,C=C(CC)CNc1cc(N)ncn1,881.9705,990.7313,-108.76080000000002
kmeans_03210311,C=C(CC)CNc1nccs1,948.7001,965.9311,-17.230999999999995
kmeans_03210311,C=C(CC)CNc1nccs1,867.7937,965.9311,-98.13740000000007
kmeans_75368074,C=CC(=O)N(CCC)[C@@H](C)C(=O)O,894.848,921.9536,-27.105600000000095
kmeans_75368074,C=CC(=O)N(CCC)[C@@H](C)C(=O)O,891.5623,921.9536,-30.3913
kmeans_75368074,C=CC(=O)N(CCC)[C@@H](C)C(=O)O,860.5944,921.9536,-61.3592000000001
kmeans_75368074,C=CC(=O)N(CCC)[C@@H](C)C(=O)O,882.7605,921.9536,-39.19310000000007
kmeans_29281710,C=CC(=O)N[C@@H](C)Cc1cccs1,858.0619,919.1131,-61.051199999999994
kmeans_29281710,C=CC(=O)N[C@@H](C)Cc1cccs1,891.1833,919.1131,-27.9298
kmeans_54002230,C=CC(=O)N[C@@H](CC)CN1CCCC1,1005.3574,1024.4292,-19.071800000000053
kmeans_54002230,C=CC(=O)N[C@@H](CC)CN1CCCC1,997.825,1024.4292,-26.60419999999999
kmeans_54002230,C=CC(=O)N[C@@H](CC)CN1CCCC1,903.3225,1024.4292,-121.10670000000005
kmeans_25077714,C=CCCCC(=O)N1CC[C@@](C)(O)C1,877.3031,926.2212,-48.91809999999998
kmeans_25077714,C=CCCCC(=O)N1CC[C@@](C)(O)C1,890.4631,926.2212,-35.7580999999999
kmeans_25077714,C=CCCCC(=O)N1CC[C@@](C)(O)C1,798.6329,926.2212,-127.5883
kmeans_90091048,C=CCCONC(=O)[C@@H](O)CCC,864.0172,911.2958,-47.27859999999998
kmeans_90091048,C=CCCONC(=O)[C@@H](O)CCC,864.0162,911.2958,-47.27959999999996
kmeans_90091048,C=CCCONC(=O)[C@@H](O)CCC,853.8986,911.2958,-57.3972
kmeans_90091048,C=CCCONC(=O)[C@@H](O)CCC,889.231,911.2958,-22.06479999999999
kmeans_82343259,C=CCC[C@@H](CC)NCCC#N,827.1729,930.6478,-103.47489999999993
kmeans_82343259,C=CCC[C@@H](CC)NCCC#N,914.7238,930.6478,-15.923999999999978
kmeans_67136393,C=CCNC(=O)/C=C/C(=O)O,819.471,875.3219,-55.850900000000024
kmeans_67136393,C=CCNC(=O)/C=C/C(=O)O,766.2776,875.3219,-109.04430000000002
kmeans_67136393,C=CCNC(=O)/C=C/C(=O)O,782.9288,875.3219,-92.3931
kmeans_67136393,C=CCNC(=O)/C=C/C(=O)O,845.241,875.3219,-30.080900000000042
kmeans_38272574,C=CCNC(=O)CN1CCNCC1=O,870.2918,960.4669,-90.17510000000004
kmeans_38272574,C=CCNC(=O)CN1CCNCC1=O,869.9568,960.4669,-90.51009999999997
kmeans_38272574,C=CCNC(=O)CN1CCNCC1=O,904.206,960.4669,-56.26089999999999
kmeans_38272574,C=CCNC(=O)CN1CCNCC1=O,841.1263,960.4669,-119.3406
kmeans_38272574,C=CCNC(=O)CN1CCNCC1=O,879.7611,960.4669,-80.70579999999995
kmeans_85025620,C=CCNC(=O)[C@@]1(C)C[C@@H](N)CCO1,882.4237,913.8852,-31.4615
kmeans_85025620,C=CCNC(=O)[C@@]1(C)C[C@@H](N)CCO1,888.2971,913.8852,-25.588100000000054
kmeans_85025620,C=CCNC(=O)[C@@]1(C)C[C@@H](N)CCO1,986.6769,913.8852,72.79169999999999
kmeans_85025620,C=CCNC(=O)[C@@]1(C)C[C@@H](N)CCO1,934.8826,913.8852,20.99739999999997
kmeans_15882186,C=CC[C@@H](C)NC(=O)NOCC(=C)C,898.2797,933.3653,-35.0856
kmeans_15882186,C=CC[C@@H](C)NC(=O)NOCC(=C)C,891.1474,933.3653,-42.2179000000001
kmeans_15882186,C=CC[C@@H](C)NC(=O)NOCC(=C)C,849.6017,933.3653,-83.7636
kmeans_15882186,C=CC[C@@H](C)NC(=O)NOCC(=C)C,869.9995,933.3653,-63.365800000000036
kmeans_14739108,C=C[C@@H](C(=O)O)N(C)CC(=O)NC,899.7466,988.1068,-88.36020000000008
kmeans_14739108,C=C[C@@H](C(=O)O)N(C)CC(=O)NC,924.671,988.1068,-63.43579999999997
kmeans_14739108,C=C[C@@H](C(=O)O)N(C)CC(=O)NC,892.4,988.1068,-95.70680000000004
kmeans_14739108,C=C[C@@H](C(=O)O)N(C)CC(=O)NC,912.9609,988.1068,-75.14589999999998
kmeans_14739108,C=C[C@@H](C(=O)O)N(C)CC(=O)NC,939.7654,988.1068,-48.34140000000002
kmeans_23858329,C=C[C@H](CO)NCc1ccc(CC)o1,927.3878,985.3554,-57.96760000000006
kmeans_23858329,C=C[C@H](CO)NCc1ccc(CC)o1,938.8688,985.3554,-46.48660000000007
kmeans_19486385,CC#CC(=O)N[C@@H]1C=CS(=O)(=O)C1,859.1538,860.3912,-1.2373999999999796
kmeans_19486385,CC#CC(=O)N[C@@H]1C=CS(=O)(=O)C1,893.3845,860.3912,32.99329999999998
kmeans_19486385,CC#CC(=O)N[C@@H]1C=CS(=O)(=O)C1,849.4238,860.3912,-10.967399999999998
kmeans_91375795,CC#CCN(CC)CCC(=O)O,939.4264,1001.3749,-61.94850000000008
kmeans_91375795,CC#CCN(CC)CCC(=O)O,959.6601,1001.3749,-41.71479999999997
kmeans_91375795,CC#CCN(CC)CCC(=O)O,900.7146,1001.3749,-100.6603
kmeans_56273810,CC#CCN1CC[C@@H](C)[C@@H](CO)C1,1017.6463,975.3839,42.26239999999996
kmeans_56273810,CC#CCN1CC[C@@H](C)[C@@H](CO)C1,979.2572,975.3839,3.873299999999972
