model,feature,importance
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.137758
DecisionTree,protonated_pm7_LUMO_eV,0.073218
DecisionTree,protonated_mordred_BCUTs-1l,0.045883
DecisionTree,protonated_rdkit_BCUT2D_LOGPLOW,0.042425
DecisionTree,protonated_mordred_MATS2c,0.032905
DecisionTree,protonated_pm7_dipole_debye,0.028479
DecisionTree,protonated_mordred_PEOE_VSA8,0.027402
DecisionTree,protonated_mordred_ATSC4c,0.025169
DecisionTree,neutral_mordred_AATSC0Z,0.019683
DecisionTree,protonated_mordred_ATSC5i,0.019089
DecisionTree,protonated_mordred_ATS0Z,0.018739
DecisionTree,protonated_mordred_SsssN,0.017933
DecisionTree,protonated_mordred_GATS3dv,0.017706
DecisionTree,protonated_mordred_MINssNH2,0.017677
DecisionTree,neutral_pm7_LUMO_eV,0.015439
DecisionTree,protonated_mordred_GATS4c,0.015121
DecisionTree,protonated_mordred_GATS2c,0.015022
DecisionTree,protonated_mordred_MINsssN,0.014288
DecisionTree,protonated_mordred_PPSA3,0.01325
DecisionTree,protonated_rdkit_fr_hdrzine,0.012682
DecisionTree,protonated_mordred_MOMI-Z,0.012508
DecisionTree,protonated_mordred_ATSC6v,0.012452
DecisionTree,protonated_mordred_MAXssNH2,0.010769
DecisionTree,morgan_283,0.010294
DecisionTree,neutral_rdkit_NumSaturatedCarbocycles,0.009973
DecisionTree,protonated_mordred_MATS3se,0.009873
DecisionTree,protonated_mordred_AATS8m,0.009515
DecisionTree,protonated_mordred_GATS3s,0.009072
DecisionTree,protonated_mordred_MINssO,0.008722
DecisionTree,protonated_mordred_PEOE_VSA11,0.007923
DecisionTree,neutral_mordred_VSA_EState1,0.00775
DecisionTree,protonated_mordred_AATS6i,0.007384
DecisionTree,protonated_mordred_MATS1c,0.007275
DecisionTree,protonated_mordred_BCUTm-1h,0.007106
DecisionTree,neutral_rdkit_VSA_EState1,0.007077
DecisionTree,neutral_mordred_ATS0Z,0.007059
DecisionTree,protonated_rdkit_PEOE_VSA11,0.007019
DecisionTree,neutral_mordred_ATSC6d,0.006881
DecisionTree,protonated_mordred_ATSC8s,0.006754
DecisionTree,morgan_158,0.006723
DecisionTree,protonated_mordred_MAXsOH,0.006608
DecisionTree,morgan_437,0.00633
DecisionTree,protonated_mordred_ATSC3pe,0.006197
DecisionTree,neutral_mordred_MATS1d,0.006164
DecisionTree,protonated_rdkit_SlogP_VSA1,0.005905
DecisionTree,morgan_585,0.005625
DecisionTree,morgan_152,0.005555
DecisionTree,protonated_rdkit_fr_NH1,0.005353
DecisionTree,neutral_mordred_ATSC8s,0.005336
DecisionTree,protonated_mordred_MATS2s,0.00531
DecisionTree,site_is_S,0.005309
DecisionTree,morgan_904,0.004725
DecisionTree,protonated_mordred_GATS2dv,0.004664
DecisionTree,neutral_mordred_AATSC5v,0.004253
DecisionTree,protonated_mordred_MATS3s,0.004079
DecisionTree,neutral_mordred_ATS8dv,0.003856
DecisionTree,morgan_1014,0.003779
DecisionTree,morgan_953,0.00374
DecisionTree,protonated_mordred_SlogP_VSA1,0.003738
DecisionTree,protonated_mordred_ATSC5m,0.003737
DecisionTree,morgan_563,0.003684
DecisionTree,morgan_691,0.003656
DecisionTree,protonated_mordred_ATSC3Z,0.003639
DecisionTree,protonated_mordred_WPSA4,0.003622
DecisionTree,morgan_771,0.003589
DecisionTree,protonated_mordred_AATSC3Z,0.003561
DecisionTree,protonated_mordred_SaaNH,0.00342
DecisionTree,protonated_mordred_GATS3are,0.003409
DecisionTree,protonated_mordred_nHBDon,0.003309
DecisionTree,morgan_899,0.003269
DecisionTree,neutral_pm7_dipole_x,0.003098
DecisionTree,protonated_mordred_ATSC2c,0.003005
DecisionTree,protonated_mordred_MIC1,0.002865
DecisionTree,morgan_484,0.002684
DecisionTree,protonated_mordred_PEOE_VSA2,0.002607
DecisionTree,neutral_mordred_GATS2v,0.002433
DecisionTree,morgan_1,0.002432
