,mean_abs_shap
protonated_pm7_HOMO_LUMO_gap_eV,2.1801811912330185
protonated_pm7_LUMO_eV,1.830221484570329
protonated_rdkit_BCUT2D_LOGPLOW,0.7451796794462552
protonated_mordred_BCUTs-1l,0.6219326428710874
protonated_mordred_MATS2c,0.5906777552906244
protonated_mordred_MINssNH2,0.5801290549762554
protonated_mordred_PEOE_VSA8,0.5380412602870815
protonated_mordred_MOMI-Z,0.4542686510417169
protonated_mordred_GATS4c,0.41724632893610547
protonated_mordred_ATS0Z,0.40703116693872976
neutral_rdkit_VSA_EState1,0.4066931340516771
protonated_mordred_ATSC4c,0.35969607522036356
protonated_pm7_dipole_debye,0.2601977313426953
protonated_mordred_ATSC5i,0.23837424654396847
protonated_rdkit_fr_Ar_NH,0.14595868741369714
morgan_283,0.1453511137251533
morgan_953,0.13112794056958965
protonated_rdkit_fr_hdrzine,0.12382077933471511
protonated_rdkit_fr_NH1,0.11566058028780125
morgan_606,0.10295047047730854
protonated_mordred_MINssO,0.09908087857809944
morgan_691,0.09097488847705171
morgan_899,0.08691198999857443
morgan_158,0.08532860249221243
morgan_82,0.0762777555789993
site_is_S,0.06681332728529331
morgan_152,0.06587859372270155
morgan_570,0.055215675533129054
maccs_95,0.05204676236392484
protonated_rdkit_fr_ester,0.05168642191753055
morgan_379,0.047759837342047314
protonated_rdkit_fr_priamide,0.04654232478732033
morgan_563,0.044698030573749103
morgan_235,0.03735318692010884
morgan_413,0.035163805655544944
neutral_rdkit_fr_HOCCN,0.028066470669283937
morgan_198,0.026638402531792567
morgan_831,0.023254961080924282
morgan_874,0.017191577902390624
morgan_765,0.016905163844666962
morgan_349,0.015552160897353373
protonated_mordred_NddssS,0.012215400549950139
morgan_348,0.012209876763804523
morgan_203,0.010978048670759093
morgan_209,0.009884912156725226
morgan_488,0.00970408055107822
morgan_45,0.007853912934240433
morgan_205,0.007732553988004147
morgan_506,0.007057108591236566
morgan_692,0.005949036267940078
morgan_671,0.004994975919609866
