model,feature,importance
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.274267
DecisionTree,protonated_pm7_LUMO_eV,0.221177
DecisionTree,protonated_rdkit_SlogP_VSA2,0.038601
DecisionTree,protonated_mordred_nBase,0.038592
DecisionTree,neutral_mordred_ATS0Z,0.035687
DecisionTree,neutral_mordred_GATS8s,0.034863
DecisionTree,neutral_mordred_PNSA1,0.033222
DecisionTree,neutral_mordred_FPSA2,0.028476
DecisionTree,site_normalized_index,0.026895
DecisionTree,neutral_mordred_AATS0p,0.021078
DecisionTree,protonated_mordred_AATS1p,0.018631
DecisionTree,protonated_rdkit_VSA_EState1,0.017212
DecisionTree,neutral_rdkit_SlogP_VSA11,0.015686
DecisionTree,morgan_969,0.014487
DecisionTree,neutral_mordred_WNSA1,0.012113
DecisionTree,dft_delta_HOMO_LUMO_gap_eV,0.011134
DecisionTree,protonated_rdkit_fr_Al_OH,0.010228
DecisionTree,neutral_mordred_AATS2p,0.009961
DecisionTree,protonated_mordred_MATS1dv,0.009682
DecisionTree,protonated_mordred_SaaN,0.009241
DecisionTree,morgan_338,0.009196
DecisionTree,protonated_mordred_ATSC4are,0.008906
DecisionTree,protonated_rdkit_EState_VSA9,0.008331
DecisionTree,protonated_mordred_AATS3i,0.008254
DecisionTree,protonated_mordred_GATS1c,0.007527
DecisionTree,protonated_rdkit_fr_priamide,0.007425
DecisionTree,maccs_88,0.007309
DecisionTree,neutral_mordred_MAXsOH,0.006939
DecisionTree,maccs_86,0.006358
DecisionTree,morgan_886,0.006347
DecisionTree,protonated_mordred_BCUTi-1l,0.00586
DecisionTree,neutral_rdkit_PEOE_VSA13,0.005512
DecisionTree,protonated_rdkit_fr_Ar_OH,0.005266
DecisionTree,protonated_mordred_NdNH,0.004733
DecisionTree,protonated_mordred_NaaN,0.004282
DecisionTree,neutral_mordred_StsC,0.002442
DecisionTree,maccs_95,0.002098
DecisionTree,maccs_102,0.002072
DecisionTree,morgan_983,0.001964
DecisionTree,morgan_360,0.001836
DecisionTree,protonated_rdkit_fr_Ar_NH,0.001406
DecisionTree,morgan_392,0.001309
DecisionTree,maccs_58,0.00085
DecisionTree,morgan_695,0.000745
DecisionTree,morgan_416,0.000673
DecisionTree,maccs_25,0.000386
DecisionTree,neutral_rdkit_fr_guanido,0.000247
DecisionTree,morgan_730,0.000227
DecisionTree,morgan_114,0.000218
DecisionTree,morgan_563,4.5e-05
DecisionTree,maccs_89,2e-06
DecisionTree,maccs_73,0.0
RandomForest,protonated_pm7_HOMO_LUMO_gap_eV,0.266216
RandomForest,protonated_pm7_LUMO_eV,0.249399
RandomForest,neutral_mordred_PNSA1,0.037226
RandomForest,neutral_mordred_ATS0Z,0.03656
RandomForest,protonated_mordred_nBase,0.03495
RandomForest,protonated_rdkit_SlogP_VSA2,0.033635
RandomForest,neutral_mordred_FPSA2,0.031204
RandomForest,neutral_mordred_GATS8s,0.027106
RandomForest,site_normalized_index,0.025102
