model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
CatBoost,5.6142,0.4518,5.6142,0.4518,93.4
VotingEnsemble,5.6444,0.4197,5.6444,0.4197,93.4
ExtraTrees,5.684,0.5182,5.684,0.5182,93.4
BayesianRidge,5.7629,0.4011,5.7629,0.4011,93.4
Lasso,5.858,0.3717,5.858,0.3717,93.4
GradientBoosting,5.8667,0.3516,5.8667,0.3516,93.4
RandomForest,5.885,0.4799,5.885,0.4799,93.4
LightGBM,5.8941,0.4615,5.8941,0.4615,93.4
Ridge,5.946,0.3821,5.946,0.3821,93.4
XGBoost,5.9939,0.5647,5.9939,0.5647,93.4
ElasticNet,6.3117,0.5474,6.3117,0.5474,93.4
AdaBoost,6.6254,0.6531,6.6254,0.6531,93.4
MLP,7.2318,0.5994,7.2318,0.5994,93.4
SVR,7.8705,1.0911,7.8705,1.0911,93.4
DecisionTree,8.6036,0.3747,8.6036,0.3747,93.4
