model,feature,importance
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.128993
DecisionTree,protonated_rdkit_BCUT2D_LOGPLOW,0.065747
DecisionTree,protonated_pm7_LUMO_eV,0.064197
DecisionTree,protonated_rdkit_PEOE_VSA8,0.050988
DecisionTree,protonated_pm7_dipole_debye,0.039581
DecisionTree,protonated_mordred_BCUTs-1l,0.036658
DecisionTree,protonated_mordred_GATS4c,0.029064
DecisionTree,protonated_mordred_MINsssN,0.024966
DecisionTree,protonated_mordred_ATS0Z,0.024401
DecisionTree,protonated_mordred_MATS2c,0.024374
DecisionTree,protonated_mordred_MOMI-Z,0.020922
DecisionTree,protonated_mordred_EState_VSA3,0.019844
DecisionTree,protonated_mordred_ATSC4c,0.017978
DecisionTree,neutral_rdkit_VSA_EState1,0.01662
DecisionTree,protonated_mordred_MATS5s,0.014904
DecisionTree,neutral_mordred_ATSC8s,0.014893
DecisionTree,protonated_mordred_WPSA3,0.014309
DecisionTree,protonated_mordred_GATS3s,0.012758
DecisionTree,protonated_mordred_GATS3c,0.011618
DecisionTree,protonated_mordred_SsssN,0.011245
DecisionTree,protonated_mordred_ATSC8c,0.010645
DecisionTree,protonated_mordred_MAXssNH2,0.01037
DecisionTree,protonated_mordred_MATS3s,0.009116
DecisionTree,morgan_437,0.009023
DecisionTree,neutral_mordred_MATS6c,0.008598
DecisionTree,protonated_mordred_ATSC4dv,0.008186
DecisionTree,protonated_mordred_MINssNH2,0.008019
DecisionTree,morgan_874,0.007982
DecisionTree,protonated_mordred_ATSC5i,0.007763
DecisionTree,neutral_rdkit_EState_VSA9,0.007011
DecisionTree,protonated_mordred_ATSC3se,0.006958
DecisionTree,morgan_948,0.006717
DecisionTree,protonated_rdkit_SlogP_VSA1,0.006662
DecisionTree,protonated_mordred_ATSC5c,0.006605
DecisionTree,protonated_mordred_ATSC3Z,0.006553
DecisionTree,protonated_mordred_ATSC6v,0.00653
DecisionTree,protonated_mordred_MATS7c,0.00649
