model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
RandomForest,7.6842,0.6175,7.6842,0.6175,100.4
VotingEnsemble,7.7348,0.5772,7.7348,0.5772,100.4
CatBoost,7.7877,0.4331,7.7877,0.4331,100.4
ExtraTrees,7.8257,0.7449,7.8257,0.7449,100.4
ElasticNet,7.8816,0.6196,7.8816,0.6196,100.4
GradientBoosting,7.8829,0.623,7.8829,0.623,100.4
Lasso,7.9543,0.6124,7.9543,0.6124,100.4
LightGBM,7.9679,0.3756,7.9679,0.3756,100.4
SVR,7.9699,0.5908,7.9699,0.5908,100.4
XGBoost,8.1834,0.6483,8.1834,0.6483,100.4
BayesianRidge,8.2111,0.5318,8.2111,0.5318,100.4
PM7+bias,8.2198,0.5981,8.2198,0.5981,
AdaBoost,8.5341,0.5114,8.5341,0.5114,100.4
Ridge,8.7692,0.5263,8.7692,0.5263,100.4
MLP,10.0016,0.5564,10.0016,0.5564,100.4
DecisionTree,11.0246,0.9422,11.0246,0.9422,100.4
