seed,fraction,n_train,n_train_groups,n_train_full,n_total,mae_test,mae_train,n_features_after_variance,n_features_selected
42,0.08,51,16,661,821,7.896094150572575,0.08427906198231566,2902,25
42,0.16,108,32,661,821,7.459988275859297,0.17704655168347894,3036,31
42,0.24,160,48,661,821,5.850390003453024,0.43391424390762356,3226,32
42,0.32,206,64,661,821,6.345925174982544,0.42949505807441934,3290,78
42,0.4,278,80,661,821,5.445095231154628,0.6889738998285211,3373,58
42,0.5,335,100,661,821,5.70965068462007,1.1125976544435372,3352,41
42,0.6,386,120,661,821,5.276322381808827,0.7836466806296508,3379,85
42,0.7,468,140,661,821,5.717800528344672,1.0429841439258307,3340,102
42,0.8,530,160,661,821,5.523358479845561,1.2722425018222936,3348,93
42,0.9,598,180,661,821,5.49493662833292,1.2221367875431843,3362,104
42,1.0,661,200,661,821,5.236999532919394,1.3225551991183118,3400,104
123,0.08,56,16,663,821,7.972084613496748,0.08739378520961084,2864,22
123,0.16,108,32,663,821,7.267753091474922,0.23463060651919782,3074,35
123,0.24,158,48,663,821,6.704908968310266,0.5979384855019656,3262,39
123,0.32,198,64,663,821,6.724488033838639,0.61251231878306,3186,70
123,0.4,267,80,663,821,5.830906086111111,0.7941736188618421,3408,50
123,0.5,345,100,663,821,6.289430594093282,0.8711339702662225,3337,75
123,0.6,392,120,663,821,6.0529846520541115,0.8739710075576301,3378,94
123,0.7,479,140,663,821,5.619438775658057,1.087781214322458,3343,78
123,0.8,525,160,663,821,6.235380121869402,1.4326161219216884,3328,62
123,0.9,589,180,663,821,5.674599824137618,1.3978536368356347,3384,74
123,1.0,663,200,663,821,5.866549622010935,1.2342564750780083,3372,92
456,0.08,51,16,660,821,7.892452481475405,0.1151272857060168,2834,25
456,0.16,104,32,660,821,7.729177823071766,0.2087842358159319,3055,43
456,0.24,160,48,660,821,7.705019437185758,0.44946472239665736,3179,41
456,0.32,211,64,660,821,6.918403881517339,0.4347532523154803,3294,76
456,0.4,272,80,660,821,7.168371910368913,0.5413534699194572,3448,62
456,0.5,339,100,660,821,6.743520775394886,0.46483435168987497,3356,111
456,0.6,402,120,660,821,6.702048915676088,0.833301899201134,3292,113
456,0.7,456,140,660,821,6.68665077352838,0.8261859506834651,3373,113
456,0.8,525,160,660,821,6.473246599963936,1.2508743623926726,3365,95
456,0.9,597,180,660,821,6.444476392340433,1.2949412529420934,3345,98
456,1.0,660,200,660,821,6.108800111393213,1.3795311524442644,3398,130
789,0.08,49,16,649,821,7.617951643489611,0.11904063388732138,2865,19
789,0.16,102,32,649,821,8.43458847899388,6.527795427723952,3052,1
789,0.24,159,48,649,821,6.4978474944524,0.3866796604495046,3222,41
789,0.32,197,64,649,821,6.013070038117626,0.4872796732575169,3366,42
789,0.4,256,80,649,821,6.6363537313814,0.684408902100853,3288,48
789,0.5,314,100,649,821,6.239924076935318,1.1090629195617285,3294,47
789,0.6,399,120,649,821,5.933850748722432,0.8678907430128472,3312,73
789,0.7,446,140,649,821,6.298180623128315,0.8516067891690814,3342,95
789,0.8,524,160,649,821,5.658750819860955,1.2215689326244792,3348,74
789,0.9,583,180,649,821,5.776837250202242,1.2544107856209292,3396,83
789,1.0,649,200,649,821,5.491405186236659,1.4235591008971913,3378,82
1024,0.08,59,16,663,821,6.0243030389508325,0.09064151572878495,2920,19
1024,0.16,104,32,663,821,5.912532357536151,0.2788569150515794,3159,35
1024,0.24,163,48,663,821,6.248598937734765,0.661562627306352,3261,51
1024,0.32,207,64,663,821,6.368427560633152,0.5471357586905291,3305,55
1024,0.4,247,80,663,821,5.912843028935396,0.42855360529579467,3334,79
1024,0.5,340,100,663,821,5.302818993082658,1.0586545781123264,3352,59
1024,0.6,395,120,663,821,5.272519011857626,1.1262458690189898,3388,78
1024,0.7,471,140,663,821,4.87815059433571,1.4801339007401308,3388,62
1024,0.8,528,160,663,821,5.564539538666718,1.2675274443866245,3352,116
1024,0.9,600,180,663,821,5.32740528651942,1.2607139387354387,3368,91
1024,1.0,663,200,663,821,5.410222292491015,1.3668408152721734,3398,103
