seed,fraction,n_train,n_train_groups,n_train_full,n_total,mae_test,mae_train,n_features_after_variance,n_features_selected
42,0.08,51,16,661,821,8.517828179523182,2.517145378753795,2887,20
42,0.16,108,32,661,821,9.933803296785367,2.9400615838113424,3021,6
42,0.24,160,48,661,821,8.071538582994739,3.018721801057601,3211,26
42,0.32,206,64,661,821,7.8213423137249025,2.8486296901975168,3275,10
42,0.4,278,80,661,821,7.748464993128583,2.8951027978286605,3358,56
42,0.5,335,100,661,821,7.584776489304491,2.728202030835307,3337,58
42,0.6,386,120,661,821,7.1322915115619,2.562924908236657,3364,72
42,0.7,468,140,661,821,8.01521314158102,2.9297872539977288,3325,27
42,0.8,530,160,661,821,7.595124474934272,2.8172870501731673,3333,71
42,0.9,598,180,661,821,7.515190303089147,2.7135823520642424,3347,88
42,1.0,661,200,661,821,7.294366545172084,2.7167796625643983,3385,88
123,0.08,56,16,663,821,9.173666226976787,2.4173156582900885,2849,12
123,0.16,108,32,663,821,9.348996398274318,2.646483120219883,3059,32
123,0.24,158,48,663,821,8.38804440543025,8.48297921476937,3247,1
123,0.32,198,64,663,821,8.082292648909648,3.002284862245784,3171,49
123,0.4,267,80,663,821,7.958316755966066,2.9862288314320313,3393,48
123,0.5,345,100,663,821,7.764270646011324,2.915436482320504,3322,64
123,0.6,392,120,663,821,7.302673655819636,2.6583673152339315,3363,74
123,0.7,479,140,663,821,7.444316516960331,2.7717476680724276,3328,97
123,0.8,525,160,663,821,7.582697159310938,2.8204071822361843,3313,53
123,0.9,589,180,663,821,7.6098276246762815,2.7899454665197196,3369,88
123,1.0,663,200,663,821,7.677225264419003,2.788088214385622,3357,96
456,0.08,51,16,660,821,10.107931498135459,3.688743858489858,2819,23
456,0.16,104,32,660,821,8.984848084391295,3.025400582806297,3040,32
456,0.24,160,48,660,821,9.340470269022482,2.9988495630676404,3164,29
456,0.32,211,64,660,821,8.74577116759498,2.9582153192482314,3279,35
456,0.4,272,80,660,821,8.330446479044692,2.737676349327973,3433,69
456,0.5,339,100,660,821,8.437519787745094,2.882243648722202,3341,52
456,0.6,402,120,660,821,8.630704336543829,2.616263706860059,3277,95
456,0.7,456,140,660,821,8.44317219027232,2.6175026112424944,3358,90
456,0.8,525,160,660,821,8.33004528564897,2.786948464900301,3350,112
456,0.9,597,180,660,821,8.123165859589324,2.6963460472774963,3330,76
456,1.0,660,200,660,821,8.269984875835776,2.6974909998044496,3383,99
789,0.08,49,16,649,821,9.007195431655477,2.413643847309478,2850,9
789,0.16,102,32,649,821,9.178152404508014,6.500559696140061,3037,2
789,0.24,159,48,649,821,8.68061068119414,3.394436260627492,3207,27
789,0.32,197,64,649,821,7.990142729501091,2.647738266880837,3351,43
789,0.4,256,80,649,821,8.160328284105562,2.609906113692041,3273,63
789,0.5,314,100,649,821,7.75390125589177,2.9669522749692483,3279,46
789,0.6,399,120,649,821,7.994931332401398,2.865012247396695,3297,70
789,0.7,446,140,649,821,7.99366256697719,2.6637580056203864,3327,35
789,0.8,524,160,649,821,7.750789368552403,2.781119786117232,3333,56
789,0.9,583,180,649,821,7.635513612210415,2.7094871012744774,3381,102
789,1.0,649,200,649,821,7.691818478617327,2.742182262496795,3363,118
1024,0.08,59,16,663,821,8.195828756928139,2.5098784291246736,2905,22
1024,0.16,104,32,663,821,7.222949541804823,2.6844830708100478,3144,36
1024,0.24,163,48,663,821,9.150114368026477,2.9407696549226356,3246,30
1024,0.32,207,64,663,821,7.610599608665925,3.114207188530497,3290,44
1024,0.4,247,80,663,821,7.129395909220172,2.8886669817929875,3319,39
1024,0.5,340,100,663,821,7.517418928649222,2.947761948529412,3337,60
1024,0.6,395,120,663,821,7.3446682570128505,2.9476893373187787,3373,80
1024,0.7,471,140,663,821,7.177196436242947,2.9040916515956043,3373,62
1024,0.8,528,160,663,821,7.4377264700365435,2.878103003324352,3337,97
1024,0.9,600,180,663,821,7.252394100793861,2.749053708173996,3353,71
1024,1.0,663,200,663,821,7.782478807905946,2.8045288935584525,3383,84
