seed,fraction,n_train,n_train_groups,n_train_full,n_total,mae_test,mae_train,n_features_after_variance,n_features_selected
42,0.08,73,73,924,1155,5.122963445043289,1.9856262752748006e-14,3318,50
42,0.16,147,147,924,1155,4.031345195173158,2.474815515028376e-14,3180,112
42,0.24,221,221,924,1155,4.515365205004327,2.3920533728756314e-14,3266,82
42,0.32,295,295,924,1155,4.070649855047617,2.3893504877085402e-14,3322,101
42,0.4,369,369,924,1155,3.602792770822507,2.572588333266921e-14,3341,97
42,0.5,462,462,924,1155,3.7588546513030257,2.509969144503211e-14,3328,114
42,0.6,554,554,924,1155,3.346366782307356,2.2983620622420568e-14,3354,221
42,0.7,646,646,924,1155,3.479356631502164,2.2614177472488637e-14,3334,157
42,0.8,739,739,924,1155,3.1845527496060595,2.3268111238693404e-14,3347,193
42,0.9,831,831,924,1155,2.979675492961038,2.3325638786444684e-14,3335,225
42,1.0,924,924,924,1155,2.8850801529956707,2.3561720155508083e-14,3336,161
123,0.08,73,73,924,1155,4.732351722948053,2.2970970635532006e-14,3308,63
123,0.16,147,147,924,1155,3.420334927844156,2.339474041550262e-14,3272,79
123,0.24,221,221,924,1155,3.480162261056276,2.1734248387956004e-14,3227,71
123,0.32,295,295,924,1155,3.393480463930736,2.3893504877085402e-14,3356,96
123,0.4,369,369,924,1155,3.1539655499480515,2.410838767402833e-14,3344,70
123,0.5,462,462,924,1155,3.0700547116233756,2.4669059483965382e-14,3338,141
123,0.6,554,554,924,1155,2.852049533272727,2.2983620622420568e-14,3317,140
123,0.7,646,646,924,1155,3.004899769532468,2.3670092373927794e-14,3348,130
123,0.8,739,739,924,1155,2.7605709391255426,2.3498869366680446e-14,3336,113
123,0.9,831,831,924,1155,2.7614034460476176,2.3154629704432626e-14,3336,200
123,1.0,924,924,924,1155,2.5711714578095233,2.331564474918424e-14,3337,253
456,0.08,73,73,924,1155,4.5054270934848475,2.2970970635532006e-14,3246,64
456,0.16,147,147,924,1155,4.094801382549782,1.952784117327078e-14,3224,82
456,0.24,221,221,924,1155,3.6871185461774867,2.5077978909180006e-14,3259,104
456,0.32,295,295,924,1155,4.211836773277057,2.3411780988434488e-14,3335,109
456,0.4,369,369,924,1155,3.514270854333332,2.380029326285864e-14,3312,190
456,0.5,462,462,924,1155,3.295508834259739,2.282349393653655e-14,3351,94
456,0.6,554,554,924,1155,3.53735930951948,2.221407975336631e-14,3357,93
456,0.7,646,646,924,1155,3.3332644536709943,2.3890074645060955e-14,3332,201
456,0.8,739,739,924,1155,2.986424385935064,2.3845006558661007e-14,3330,182
456,0.9,831,831,924,1155,3.134368599649348,2.346244605205433e-14,3345,229
456,1.0,924,924,924,1155,2.9016382859826826,2.3623239007089047e-14,3333,224
789,0.08,73,73,924,1155,5.561381379666665,2.5307001547620007e-14,3299,40
789,0.16,147,147,924,1155,4.91133074273593,2.3781430339725803e-14,3244,107
789,0.24,221,221,924,1155,4.417862401212121,2.3920533728756314e-14,3309,82
789,0.32,295,295,924,1155,4.0532848209913395,2.0810471989719545e-14,3330,127
789,0.4,369,369,924,1155,3.59452773425541,2.3338151646104104e-14,3340,109
789,0.5,462,462,924,1155,3.631150397627707,2.399235211657481e-14,3338,97
789,0.6,554,554,924,1155,3.2736664273333322,2.4163583288303767e-14,3341,136
789,0.7,646,646,924,1155,3.555177972961039,2.3450110102794637e-14,3332,98
789,0.8,739,739,924,1155,3.287668011181817,2.411422437464589e-14,3335,143
789,0.9,831,831,924,1155,3.402766623,2.339404241924951e-14,3339,247
789,1.0,924,924,924,1155,3.1275927050043277,2.3653998432879525e-14,3344,177
1024,0.08,73,73,924,1155,4.628423475740258,2.1413616694140006e-14,3279,69
1024,0.16,147,147,924,1155,4.225027395363634,2.358808537761421e-14,3219,63
1024,0.24,221,221,924,1155,3.860014125316021,2.2248668468144313e-14,3259,81
1024,0.32,295,295,924,1155,3.5426811702857144,2.283371232205339e-14,3366,82
1024,0.4,369,369,924,1155,3.442749976259741,2.2567915618179876e-14,3342,176
1024,0.5,462,462,924,1155,3.580151573515151,2.4792097187127307e-14,3312,141
1024,0.6,554,554,924,1155,3.60226406482251,2.390706966528568e-14,3331,182
1024,0.7,646,646,924,1155,3.574379808515151,2.3318120740114744e-14,3329,170
1024,0.8,739,739,924,1155,3.312205429103896,2.411422437464589e-14,3323,228
1024,0.9,831,831,924,1155,3.3057568435671008,2.322303333723745e-14,3323,258
1024,1.0,924,924,924,1155,3.2208896449177487,2.3469441878136644e-14,3315,277
