seed,fraction,n_train,n_train_groups,n_train_full,n_total,mae_test,mae_train,n_features_after_variance,n_features_selected
42,0.08,73,73,924,1155,5.136830343445887,1.9856262752748006e-14,3306,49
42,0.16,147,147,924,1155,4.096797793999998,2.474815515028376e-14,3168,111
42,0.24,221,221,924,1155,4.490446543588743,2.3920533728756314e-14,3254,80
42,0.32,295,295,924,1155,4.029179958484845,2.3893504877085402e-14,3310,101
42,0.4,369,369,924,1155,3.541211494129867,2.572588333266921e-14,3329,105
42,0.5,462,462,924,1155,3.761242350350645,2.509969144503211e-14,3316,112
42,0.6,554,554,924,1155,3.373420498233764,2.2983620622420568e-14,3342,224
42,0.7,646,646,924,1155,3.4261734190952366,2.2614177472488637e-14,3322,165
42,0.8,739,739,924,1155,3.127894989956707,2.3268111238693404e-14,3335,186
42,0.9,831,831,924,1155,2.964894265233766,2.3325638786444684e-14,3323,223
42,1.0,924,924,924,1155,2.8886585838311674,2.3561720155508083e-14,3324,163
123,0.08,73,73,924,1155,4.3243931927748935,2.2970970635532006e-14,3296,69
123,0.16,147,147,924,1155,3.3982227678225123,2.339474041550262e-14,3260,79
123,0.24,221,221,924,1155,3.4429479011818187,2.1734248387956004e-14,3215,68
123,0.32,295,295,924,1155,3.4052662622684005,2.3893504877085402e-14,3344,90
123,0.4,369,369,924,1155,3.1246366838268407,2.410838767402833e-14,3332,67
123,0.5,462,462,924,1155,3.0257432352943723,2.4669059483965382e-14,3326,138
123,0.6,554,554,924,1155,2.831244495225108,2.2983620622420568e-14,3305,147
123,0.7,646,646,924,1155,2.936492118796537,2.3670092373927794e-14,3336,202
123,0.8,739,739,924,1155,2.796850501935065,2.3498869366680446e-14,3324,110
123,0.9,831,831,924,1155,2.847420341593073,2.3154629704432626e-14,3324,182
123,1.0,924,924,924,1155,2.6075682796450206,2.331564474918424e-14,3325,242
456,0.08,73,73,924,1155,4.478404810476188,2.2970970635532006e-14,3234,60
456,0.16,147,147,924,1155,4.122309015554111,1.952784117327078e-14,3212,85
456,0.24,221,221,924,1155,3.6023424633636347,2.5077978909180006e-14,3247,101
456,0.32,295,295,924,1155,4.231575165021646,2.3411780988434488e-14,3323,109
456,0.4,369,369,924,1155,3.497209245632035,2.380029326285864e-14,3300,181
456,0.5,462,462,924,1155,3.246823846835495,2.282349393653655e-14,3339,90
456,0.6,554,554,924,1155,3.5285806699220763,2.221407975336631e-14,3345,93
456,0.7,646,646,924,1155,3.3324286615844145,2.3890074645060955e-14,3320,208
456,0.8,739,739,924,1155,3.0623971182164493,2.3845006558661007e-14,3318,198
456,0.9,831,831,924,1155,3.0907916850086563,2.346244605205433e-14,3333,227
456,1.0,924,924,924,1155,2.8998174161038963,2.3623239007089047e-14,3321,226
789,0.08,73,73,924,1155,5.363478728493504,2.5307001547620007e-14,3287,40
789,0.16,147,147,924,1155,5.115699097645022,2.3781430339725803e-14,3232,112
789,0.24,221,221,924,1155,4.357460404597402,2.3920533728756314e-14,3297,106
789,0.32,295,295,924,1155,4.003235721909088,2.0810471989719545e-14,3318,127
789,0.4,369,369,924,1155,3.608170757337662,2.3338151646104104e-14,3328,113
789,0.5,462,462,924,1155,3.6554619368658026,2.399235211657481e-14,3326,97
789,0.6,554,554,924,1155,3.2531573672337646,2.4163583288303767e-14,3329,137
789,0.7,646,646,924,1155,3.5679729355844167,2.3450110102794637e-14,3320,98
789,0.8,739,739,924,1155,3.1955037951082237,2.411422437464589e-14,3323,150
789,0.9,831,831,924,1155,3.4742201201471845,2.339404241924951e-14,3327,249
789,1.0,924,924,924,1155,3.0802538131991346,2.3653998432879525e-14,3332,173
1024,0.08,73,73,924,1155,4.6306836038701285,2.1413616694140006e-14,3267,72
1024,0.16,147,147,924,1155,4.231965404640693,2.358808537761421e-14,3207,63
1024,0.24,221,221,924,1155,3.841108231640696,2.2248668468144313e-14,3247,87
1024,0.32,295,295,924,1155,3.423906772597402,2.283371232205339e-14,3354,81
1024,0.4,369,369,924,1155,3.477894598766234,2.2567915618179876e-14,3330,176
1024,0.5,462,462,924,1155,3.4399492915930745,2.4792097187127307e-14,3300,185
1024,0.6,554,554,924,1155,3.5320918266753223,2.390706966528568e-14,3319,183
1024,0.7,646,646,924,1155,3.6369751537922075,2.3318120740114744e-14,3317,126
1024,0.8,739,739,924,1155,3.257052534757574,2.411422437464589e-14,3311,99
1024,0.9,831,831,924,1155,3.2316874464545466,2.322303333723745e-14,3311,254
1024,1.0,924,924,924,1155,3.167339461809524,2.3469441878136644e-14,3303,262
