fold,fraction,n_train,n_features,mae_train,mae_test
0,0.1,65,12,5.1958437552457326e-14,8.424928435888521
0,0.2,131,43,4.350379259546453e-14,8.070322991627554
0,0.4,262,193,4.8128591866746575e-14,6.115282369343531
0,0.6,393,412,4.792886472211299e-14,6.45666033373892
0,0.8,524,413,4.771119885939704e-14,5.766257176690422
0,1.0,656,430,4.746575761164949e-14,5.449936919867895
1,0.1,65,107,4.797529894718677e-14,8.453967875588765
1,0.2,131,35,5.132281368339712e-14,7.01117940878142
1,0.4,262,65,4.655393966846143e-14,6.729845925097937
1,0.6,394,390,4.916822730122933e-14,6.344614559529916
1,0.8,525,383,4.749555246451651e-14,6.010448563488081
1,1.0,657,404,4.7527684477012635e-14,6.014144226116912
2,0.1,65,64,4.9683334369687005e-14,10.355931006039267
2,0.2,131,138,5.003970096638759e-14,7.690799198019165
2,0.4,262,211,4.75650053695132e-14,7.132993720270018
2,0.6,394,409,4.6109760116132516e-14,7.1316805090822175
2,0.8,525,417,4.607531287720554e-14,6.741700253287789
2,1.0,657,422,4.5649599439617815e-14,6.436902173057643
3,0.1,65,62,5.1855955427107314e-14,9.294567959969454
3,0.2,131,67,4.73887256831605e-14,7.788074099064962
3,0.4,262,184,4.428433870667046e-14,7.38688474822786
3,0.6,394,403,4.622360024353063e-14,7.093717359686144
3,0.8,525,388,4.667546772366006e-14,6.53518466253556
3,1.0,657,419,4.5946672815156784e-14,5.9556376330562415
4,0.1,65,34,4.8344234598446815e-14,9.474156693035026
4,0.2,131,117,4.70192163406135e-14,7.1243050915508555
4,0.4,262,165,4.7348893254032724e-14,6.778372144318657
4,0.6,394,396,4.736932786234431e-14,6.220277627022803
4,0.8,525,401,4.829998834750205e-14,6.382659079449003
4,1.0,657,428,4.751551764934551e-14,5.77749581302756
