model,feature,importance
DecisionTree,protonated_rdkit_MinPartialCharge,0.096833
DecisionTree,protonated_mordred_BCUTi-1l,0.090853
DecisionTree,protonated_mordred_BCUTdv-1l,0.089612
DecisionTree,protonated_rdkit_MaxAbsPartialCharge,0.038621
DecisionTree,neutral_mordred_BCUTdv-1l,0.038177
DecisionTree,neutral_mordred_NtN,0.03664
DecisionTree,protonated_mordred_BCUTs-1l,0.029269
DecisionTree,neutral_rdkit_fr_nitrile,0.029062
DecisionTree,morgan_890,0.022721
DecisionTree,protonated_mordred_BCUTc-1h,0.022713
DecisionTree,neutral_rdkit_MinEStateIndex,0.019699
DecisionTree,protonated_mordred_BCUTi-1h,0.017649
DecisionTree,neutral_rdkit_SMR_VSA2,0.01707
DecisionTree,morgan_860,0.015772
DecisionTree,protonated_pm7_LUMO_eV,0.015034
DecisionTree,protonated_pm7_dipole_debye,0.012389
DecisionTree,morgan_404,0.011314
DecisionTree,protonated_mordred_ATSC0c,0.010378
DecisionTree,protonated_rdkit_PEOE_VSA11,0.009684
DecisionTree,protonated_mordred_RNCS,0.009646
DecisionTree,morgan_106,0.009633
DecisionTree,neutral_pm7_LUMO_eV,0.009206
DecisionTree,neutral_mordred_MATS1are,0.008988
DecisionTree,neutral_pm7_dipole_debye,0.008684
DecisionTree,neutral_mordred_ATSC2dv,0.008
DecisionTree,neutral_mordred_GATS2s,0.00784
DecisionTree,neutral_mordred_MATS1s,0.007838
DecisionTree,neutral_mordred_MATS3d,0.007602
DecisionTree,neutral_mordred_GATS3dv,0.007576
DecisionTree,neutral_mordred_SssO,0.007525
DecisionTree,protonated_rdkit_fr_NH1,0.007406
DecisionTree,protonated_mordred_SddC,0.007163
DecisionTree,neutral_mordred_MATS4s,0.00587
DecisionTree,neutral_mordred_MATS3dv,0.005649
DecisionTree,neutral_mordred_ATSC1s,0.00549
DecisionTree,protonated_mordred_PNSA5,0.005454
DecisionTree,neutral_mordred_MATS3s,0.005369
DecisionTree,neutral_mordred_GATS2v,0.004971
DecisionTree,neutral_mordred_ATS8m,0.004926
DecisionTree,protonated_mordred_GATS1c,0.00465
DecisionTree,protonated_mordred_BCUTc-1l,0.004531
DecisionTree,protonated_mordred_nBase,0.004445
DecisionTree,neutral_mordred_MATS1v,0.004084
DecisionTree,neutral_mordred_BIC3,0.004079
DecisionTree,maccs_142,0.003909
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.003725
DecisionTree,protonated_mordred_AATS1p,0.003543
DecisionTree,maccs_72,0.003316
DecisionTree,protonated_mordred_NdssC,0.003268
DecisionTree,neutral_mordred_GATS2m,0.003261
DecisionTree,neutral_mordred_MATS4i,0.003213
DecisionTree,morgan_939,0.003149
DecisionTree,morgan_693,0.003108
DecisionTree,neutral_mordred_GATS4se,0.003103
DecisionTree,neutral_rdkit_Kappa3,0.003035
DecisionTree,neutral_rdkit_MaxEStateIndex,0.003022
DecisionTree,protonated_mordred_MATS1s,0.00292
DecisionTree,neutral_rdkit_MaxPartialCharge,0.002892
DecisionTree,neutral_mordred_MATS4d,0.002836
DecisionTree,neutral_mordred_AATSC3s,0.002772
DecisionTree,neutral_mordred_GATS4c,0.002607
DecisionTree,protonated_mordred_MINdssC,0.002521
DecisionTree,neutral_mordred_ATSC3are,0.002324
DecisionTree,neutral_rdkit_fr_guanido,0.002283
DecisionTree,neutral_pm7_HOMO_eV,0.002261
DecisionTree,protonated_pm7_dipole_y,0.002224
DecisionTree,protonated_mordred_ATSC3Z,0.002214
DecisionTree,neutral_rdkit_BCUT2D_MRHI,0.002179
DecisionTree,protonated_rdkit_fr_guanido,0.002084
DecisionTree,protonated_mordred_ATSC1Z,0.002062
DecisionTree,protonated_mordred_MATS4c,0.00206
DecisionTree,protonated_mordred_WPSA4,0.002008
DecisionTree,neutral_mordred_ATSC2i,0.00196
DecisionTree,protonated_mordred_MINdsCH,0.001956
DecisionTree,protonated_mordred_GATS5c,0.001939
DecisionTree,neutral_mordred_MIC0,0.001908
DecisionTree,neutral_rdkit_PEOE_VSA8,0.001857
DecisionTree,protonated_mordred_AATSC3Z,0.001836
DecisionTree,protonated_rdkit_BCUT2D_LOGPLOW,0.00183
DecisionTree,neutral_mordred_AATSC2dv,0.00179
DecisionTree,neutral_mordred_SlogP_VSA4,0.001777
DecisionTree,protonated_mordred_AATSC6Z,0.001765
DecisionTree,morgan_493,0.001713
DecisionTree,morgan_123,0.001665
DecisionTree,neutral_mordred_MATS2i,0.001641
DecisionTree,neutral_mordred_AATS5i,0.001639
DecisionTree,protonated_rdkit_SlogP_VSA12,0.001633
DecisionTree,neutral_mordred_MATS4v,0.001617
DecisionTree,protonated_mordred_MDEC-23,0.001615
DecisionTree,protonated_mordred_ATSC5i,0.001578
DecisionTree,protonated_rdkit_PEOE_VSA13,0.001573
DecisionTree,protonated_mordred_PPSA4,0.00155
DecisionTree,protonated_mordred_ATSC1c,0.001522
DecisionTree,neutral_mordred_GATS3p,0.001502
DecisionTree,protonated_rdkit_fr_Al_OH,0.001468
DecisionTree,neutral_mordred_MDEN-33,0.001454
DecisionTree,maccs_106,0.001453
DecisionTree,protonated_mordred_BIC2,0.001453
DecisionTree,protonated_mordred_PPSA3,0.00145
DecisionTree,protonated_mordred_ATSC3se,0.001449
RandomForest,protonated_mordred_BCUTdv-1l,0.09275
RandomForest,protonated_rdkit_MinPartialCharge,0.092175
RandomForest,protonated_mordred_BCUTi-1l,0.077455
RandomForest,protonated_mordred_BCUTs-1l,0.040301
RandomForest,protonated_rdkit_MaxAbsPartialCharge,0.030567
RandomForest,neutral_mordred_BCUTdv-1l,0.023934
RandomForest,neutral_mordred_NtN,0.021306
RandomForest,neutral_rdkit_fr_nitrile,0.019671
RandomForest,protonated_mordred_BCUTc-1h,0.018857
RandomForest,neutral_rdkit_SMR_VSA2,0.016547
RandomForest,protonated_mordred_BCUTi-1h,0.013309
RandomForest,morgan_404,0.012283
RandomForest,morgan_890,0.011865
RandomForest,protonated_pm7_LUMO_eV,0.011845
RandomForest,protonated_pm7_HOMO_LUMO_gap_eV,0.011543
RandomForest,morgan_106,0.009991
RandomForest,neutral_mordred_MATS1are,0.009926
RandomForest,protonated_rdkit_PEOE_VSA11,0.009651
RandomForest,protonated_mordred_ATSC0c,0.009433
RandomForest,neutral_mordred_TPSA,0.00862
RandomForest,protonated_pm7_dipole_debye,0.008616
RandomForest,neutral_mordred_GATS2s,0.008321
RandomForest,neutral_rdkit_BCUT2D_MRHI,0.007964
RandomForest,neutral_mordred_MATS1s,0.007467
RandomForest,neutral_mordred_SMR_VSA2,0.006644
RandomForest,protonated_rdkit_fr_Al_OH,0.006188
RandomForest,neutral_mordred_MATS3d,0.006057
RandomForest,protonated_mordred_GATS1c,0.005844
RandomForest,neutral_rdkit_PEOE_VSA8,0.005822
RandomForest,neutral_mordred_MATS3dv,0.005785
RandomForest,neutral_mordred_ATSC2dv,0.00564
RandomForest,neutral_mordred_SssO,0.00561
