model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
ExtraTrees,2.8731,0.2643,2.8731,0.2643,204.8
VotingEnsemble,2.9406,0.3042,2.9406,0.3042,204.8
RandomForest,2.9918,0.3009,2.9918,0.3009,204.8
CatBoost,3.0069,0.2727,3.0069,0.2727,204.8
LightGBM,3.0765,0.3078,3.0765,0.3078,204.8
GradientBoosting,3.0946,0.3045,3.0946,0.3045,204.8
XGBoost,3.1511,0.3182,3.1511,0.3182,204.8
MLP,3.4602,0.2617,3.4602,0.2617,204.8
BayesianRidge,3.548,0.2825,3.548,0.2825,204.8
Ridge,3.6128,0.274,3.6128,0.274,204.8
DecisionTree,4.1875,0.3499,4.1875,0.3499,204.8
Lasso,4.2196,0.2449,4.2196,0.2449,204.8
ElasticNet,4.3021,0.2461,4.3021,0.2461,204.8
AdaBoost,4.5849,0.3257,4.5849,0.3257,204.8
SVR,4.8641,0.4111,4.8641,0.4111,204.8
PM7+bias,5.4437,0.3889,5.4437,0.3889,
