,mean_abs_shap
protonated_rdkit_fr_Al_OH,0.7755938779077535
maccs_142,0.7245312295219551
protonated_mordred_BCUTs-1l,0.6726572993095391
neutral_rdkit_SMR_VSA2,0.46919363672271014
protonated_mordred_BCUTdv-1l,0.41755921166866167
protonated_rdkit_fr_pyridine,0.3439992512757112
protonated_mordred_ATSC0c,0.33344229948358345
protonated_rdkit_MinPartialCharge,0.2882201389922768
protonated_mordred_BCUTi-1h,0.28721587052685515
protonated_rdkit_MaxAbsPartialCharge,0.27221194856224373
protonated_mordred_NdsssP,0.23418652856594052
protonated_pm7_dipole_debye,0.21913873024669325
protonated_mordred_BCUTc-1h,0.21832203797783756
morgan_790,0.1978329683826259
morgan_360,0.182982643474985
protonated_mordred_NtsC,0.16888041323788627
maccs_80,0.15535508273898663
protonated_rdkit_fr_NH1,0.14906631142620988
maccs_65,0.12673464193024245
maccs_45,0.11595863949430348
protonated_mordred_nBase,0.11517227322270356
neutral_rdkit_PEOE_VSA8,0.1123628122909614
protonated_pm7_LUMO_eV,0.10173668452611938
protonated_pm7_HOMO_LUMO_gap_eV,0.09991741864176393
protonated_rdkit_fr_Ar_OH,0.09915551135126663
neutral_rdkit_fr_C_S,0.0968055589642387
protonated_mordred_MINdssC,0.09230143736491245
neutral_mordred_nBase,0.09084834701912965
neutral_mordred_SdO,0.09082910674266842
neutral_mordred_MATS1s,0.08557632783583359
maccs_112,0.08240939630243554
neutral_mordred_ATSC1s,0.0801596653422814
neutral_rdkit_MinEStateIndex,0.07991766660641024
neutral_mordred_MATS1are,0.07982620531613452
maccs_99,0.07967140702501681
neutral_mordred_SddssS,0.07831219884263978
neutral_mordred_MIC0,0.06742395798888157
protonated_mordred_nFHRing,0.06674973187458393
morgan_314,0.06659048410407542
protonated_mordred_MATS2c,0.06302700443632304
protonated_rdkit_PEOE_VSA13,0.059703680212920815
protonated_mordred_SRW09,0.05951724623998192
neutral_pm7_LUMO_eV,0.059410308883869146
neutral_mordred_MATS3dv,0.05768796832650651
morgan_404,0.05722037213544221
neutral_mordred_GATS2s,0.05628635963672737
maccs_72,0.055226897179695124
neutral_mordred_TPSA,0.05456392329510337
morgan_890,0.04863419713112093
maccs_110,0.04853885604293948
protonated_mordred_PPSA4,0.047256788611390446
maccs_76,0.046337553294903605
neutral_pm7_dipole_debye,0.04479254036339741
morgan_939,0.04387062698614788
neutral_mordred_n8FAHRing,0.04380440428957022
protonated_rdkit_SlogP_VSA12,0.0437289264811858
protonated_mordred_AATS1p,0.042831152066230754
maccs_52,0.041913765239251256
neutral_mordred_MDEO-22,0.04167500484416056
protonated_mordred_NdO,0.041350590236063904
neutral_mordred_GATS2m,0.04059005918191217
neutral_mordred_GATS1d,0.039866767631847606
morgan_106,0.03908723012106484
protonated_rdkit_PEOE_VSA11,0.03858085685797133
protonated_mordred_BCUTc-1l,0.03825315057477961
neutral_mordred_GATS2v,0.03776972269661763
protonated_mordred_n6AHRing,0.03748945544744584
morgan_4,0.037207653244120675
neutral_mordred_AATSC2Z,0.036487072678831736
protonated_mordred_GATS4c,0.03619521070106139
neutral_rdkit_Kappa3,0.03556325638830779
protonated_mordred_ATSC3Z,0.034363175125846
protonated_rdkit_PEOE_VSA7,0.03430561471477725
maccs_48,0.03244554823637178
maccs_124,0.032425924011242106
morgan_693,0.03089222386994982
neutral_mordred_RNCS,0.030531026326703774
neutral_mordred_BIC3,0.028873619419938094
neutral_mordred_SssS,0.028385220146394066
maccs_81,0.0280864912470084
maccs_157,0.02616754239540377
neutral_mordred_MATS4v,0.02583229749263095
morgan_622,0.025791000349772455
maccs_85,0.025622329025104976
protonated_mordred_ATSC5i,0.025466880938902006
protonated_mordred_ATSC7i,0.02493830288569268
neutral_mordred_MINtN,0.023985203092363704
morgan_175,0.02304626690985974
maccs_38,0.022780839012721935
morgan_102,0.022507406172428683
morgan_609,0.022468962479721518
neutral_mordred_MATS4d,0.022355473057995096
maccs_113,0.022303568734634578
morgan_842,0.021798153925210357
morgan_860,0.020954785074705936
protonated_mordred_VR2_A,0.020254381876595347
morgan_715,0.020069067689090565
neutral_mordred_SsSH,0.019932152468963335
protonated_mordred_MATS8c,0.019524086127329005
morgan_286,0.019140543208504803
protonated_mordred_MAXsssCH,0.019046740041885692
protonated_mordred_MINdsCH,0.018516245459809524
maccs_152,0.018385859414039973
protonated_mordred_AATSC3Z,0.0181483287549852
neutral_mordred_MATS8s,0.016462781955444386
morgan_645,0.01633825906796578
morgan_598,0.01632352155555364
morgan_841,0.016136721544894896
morgan_140,0.01577926592905519
morgan_946,0.014829018785729372
maccs_53,0.013205924346011606
morgan_950,0.013051583851230104
maccs_34,0.012279676830081163
maccs_50,0.011782090377295835
morgan_184,0.01174245944581453
maccs_62,0.01086225247013029
morgan_1022,0.01074901986301216
morgan_111,0.009643584108743778
morgan_1005,0.009145631029982655
maccs_89,0.009111149907052382
neutral_rdkit_fr_methoxy,0.0089436512861409
morgan_104,0.008740302381761864
morgan_843,0.008570680140932166
morgan_740,0.008230176023611443
morgan_562,0.007210444892166119
protonated_rdkit_fr_methoxy,0.0069830370079481735
morgan_112,0.006890734358664148
morgan_487,0.006810890939853462
morgan_123,0.006703339609239101
morgan_980,0.006391136022715763
morgan_131,0.0063785294069300625
morgan_563,0.006332268497196759
neutral_mordred_NsssP,0.006209007113578611
neutral_mordred_MDEN-33,0.005931983093344728
neutral_mordred_NaasN,0.005399512705254452
morgan_120,0.005389923819328255
neutral_mordred_MINtsC,0.005365460019467965
