record_id,neutral_smiles,pa_pm7,pa_true,raw_pm7_error
nist_00125011,O=CC=1C=CC=C(OC)C1,817.0937,844.1,-27.00630000000001
nist_00396590,O=C1NCC1,859.4159,852.6,6.815899999999942
nist_00438872,O=CCC,776.5784,786.0,-9.421600000000012
nist_00645122,N1=C2C=CC=C(N2C=C1C)C,967.5116,996.4,-28.888399999999933
nist_00760896,O=C(C=1C=CC=CC1)C=2C=CC=CC2,858.5334,882.3,-23.766599999999926
nist_00804112,N(C)(C)CCCCN(C)C,931.9288,1046.3,-114.37119999999993
nist_00837453,O=C1CCCCCC1,826.9573,845.6,-18.64269999999999
nist_00905305,N(=CN(C)C)C,956.1836,1002.5,-46.316400000000044
nist_00927094,O=C(C1=CC=C(C=C1)C(F)(F)F)N(C)C,875.1045,904.5,-29.39549999999997
nist_00930813,O=C(N(C)C)C,882.2559,908.0,-25.744100000000003
nist_01223463,C#CCN(C)C,925.5629,940.3,-14.737099999999941
nist_01355247,ClC=1C=NC=CC1,866.2846,903.4,-37.11540000000002
nist_01387778,O=C(N(O)C)C,835.0913,876.2,-41.1087
nist_01410735,O=C(OC)C1=CC=C(C=C1)C(=O)OC,806.0635,843.2,-37.13650000000007
nist_01663744,O=P(C=1C=CC=CC1)(C)C,984.703,908.9,75.803
nist_01762105,N=1C=NC=NC1,807.4617,848.8,-41.338300000000004
nist_01813910,N=1C=CC=CC1OC,897.6896,934.7,-37.010400000000004
nist_01953252,O=C(C=1C=CC=CC1)C(Cl)(Cl)Cl,764.0455,818.9,-54.85450000000003
nist_02112727,O=C(C=1C=CC=C(SC)C1)C,875.5474,866.6,8.947400000000016
nist_02204816,O=C(OC)C=1C=CC=C(F)C1,804.8115,832.9,-28.088499999999954
nist_02219190,O=C(OCC)C(Cl)(Cl)Cl,745.3269,790.4,-45.073099999999954
nist_02234336,FC(F)(F)C(N)(C(F)(F)F)C(F)(F)F,746.5084,783.7,-37.191599999999994
nist_02244448,O=C1N(C)CCC1,871.2612,923.5,-52.23879999999997
nist_02477424,N1(N(C)CCCC1)C,927.4726,966.1,-38.627399999999966
nist_02525694,O=CC1=CC=C(C=C1)C,829.6278,851.8,-22.172199999999975
nist_02544009,O=C(C)CF,772.6486,795.4,-22.75139999999999
nist_02593856,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,576.9923,676.8,-99.80769999999995
nist_02774099,CC[N+](=O)[O-],761.0296,765.7,-4.670400000000086
nist_02853497,O=C(OC)C1=CC=C(OC)C=C1,847.4652,870.6,-23.13480000000004
nist_02863785,N(=CN(C)C)C=1C=CC=CC1,968.0151,983.8,-15.784899999999993
nist_03042087,NC=1C=CC=CC1C,887.0277,890.9,-3.8722999999999956
nist_03128596,O=C(OC)CCC,804.0087,836.4,-32.3913
nist_03202939,O=C(N(CC)CC)C,894.1045,925.4,-31.295499999999947
nist_03355041,O=C(C)CCC(=O)C,865.9272,892.0,-26.07280000000003
nist_03374851,N(CC)(CC)C(C)C,970.699,996.4,-25.701000000000022
nist_03617918,O=CC1=CC=C(N)C=C1,878.7105,910.4,-31.689499999999953
nist_03648145,N#CC(F)(F)F,717.0872,688.4,28.687200000000075
nist_03690578,O=COCCCC,776.7716,806.0,-29.228399999999965
nist_03881393,C=1C=CC(=CC1)N2CCCCCC2,935.8108,956.6,-20.78920000000005
nist_04021459,O(C)CCOCCOCCOC,914.5657,946.6,-32.03430000000003
nist_04085536,O=C(OC)C(C)C,806.0373,836.6,-30.562700000000063
nist_04146605,O1P2OCC(C1)CO2,855.8144,868.8,-12.985599999999977
nist_04208386,N=CC,905.944,885.1,20.843999999999937
nist_04360263,N=1NC(=CC1C(C)(C)C)C(C)(C)C,909.9092,952.7,-42.79079999999999
nist_04365347,NCCCC,910.1534,921.5,-11.346599999999967
nist_04459242,CCOC=CC,781.723,876.7,-94.97700000000009
nist_04494467,O=NOC(C)C,769.0848,845.5,-76.41520000000003
nist_04553846,O=C(C=1C=CC=C(O)C1)C,825.8627,863.6,-37.737300000000005
nist_04671501,C=1C=CC(=C(C1)N(C)C)N(C)C,974.5707,982.6,-8.029300000000035
nist_04864002,N(=CN(C)C)CC,981.9219,1008.7,-26.778099999999995
nist_04893497,CC(=O)C1=CC(=CC=C1)[N+](=O)[O-],794.0147,826.0,-31.985300000000052
nist_04922781,N#CCOC,814.1098,758.1,56.00979999999993
nist_04973755,O=C(C1=CC=C(N=CN(C)C)C=C1)C,950.8463,979.8,-28.953699999999913
nist_05248112,N(=CN(C)C)CCOC,987.3061,1018.9,-31.593899999999962
nist_05403789,O=C1N(C)CCN1C,870.825,918.4,-47.57499999999993
nist_05459594,N(=C(N(C)C)C)C1CC1,983.7241,1024.1,-40.37589999999989
nist_05598367,N(=C)C,877.3927,884.6,-7.207300000000032
nist_05604050,O=C(N)C,834.9027,863.6,-28.69730000000004
nist_05641564,N1=CC=CN1C,866.1525,912.0,-45.84749999999997
nist_05694638,S=C(Cl)Cl,765.58,752.5,13.080000000000041
nist_05715452,N#CC(C)C,829.9959,803.6,26.395899999999983
nist_05716584,N1(N2CCC(C1)CC2)C,931.7749,968.9,-37.125099999999975
nist_05716685,O=C(C1=CC=C(C=C1C)C)C,865.2234,882.6,-17.376600000000053
nist_06046479,N1=C2C=CC=CC2=NN1C,851.8811,890.1,-38.218900000000076
nist_06047809,N1CCCC1,917.8564,948.3,-30.443599999999947
nist_06053099,O=C(C=C)C,814.405,834.7,-20.295000000000073
nist_06069824,C=1C=CC(=CC1)N(C)C,918.6218,941.1,-22.478200000000015
nist_06103670,N(C)(C)C12CC3CC(CC(C3)C1)C2,963.9814,993.9,-29.91859999999997
nist_06115178,FCCCN,888.075,920.9,-32.82499999999993
nist_06133542,O=CC=1C=CC=C(F)C1,786.4126,814.3,-27.887399999999957
nist_06260766,N1=CC=C(N1C)C(C)(C)C,896.3676,939.2,-42.83240000000001
