model,feature,importance
DecisionTree,protonated_rdkit_MinPartialCharge,0.125232
DecisionTree,protonated_mordred_BCUTi-1l,0.089259
DecisionTree,protonated_mordred_BCUTdv-1l,0.082314
DecisionTree,dft_delta_ZPE_kjmol,0.054256
DecisionTree,neutral_mordred_NtN,0.048589
DecisionTree,protonated_mordred_BCUTs-1l,0.028573
DecisionTree,morgan_890,0.022594
DecisionTree,protonated_pm7_LUMO_eV,0.0199
DecisionTree,protonated_mordred_BCUTi-1h,0.01982
DecisionTree,neutral_rdkit_MinEStateIndex,0.017218
DecisionTree,dft_delta_HOMO_LUMO_gap_eV,0.016846
DecisionTree,neutral_mordred_SMR_VSA2,0.016695
DecisionTree,neutral_mordred_GATS2s,0.015363
DecisionTree,protonated_rdkit_MaxAbsPartialCharge,0.013122
DecisionTree,protonated_mordred_BCUTc-1h,0.012957
DecisionTree,protonated_pm7_dipole_debye,0.012804
DecisionTree,neutral_mordred_BCUTdv-1l,0.012359
DecisionTree,neutral_mordred_MATS1are,0.012191
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.010544
DecisionTree,neutral_mordred_MATS3d,0.008986
DecisionTree,protonated_mordred_ATSC0c,0.008842
DecisionTree,protonated_rdkit_PEOE_VSA11,0.00809
DecisionTree,neutral_mordred_ATSC2dv,0.008003
DecisionTree,protonated_mordred_SddC,0.007163
DecisionTree,protonated_rdkit_fr_NH1,0.006962
DecisionTree,neutral_mordred_MATS1s,0.006526
DecisionTree,neutral_rdkit_fr_guanido,0.006285
DecisionTree,morgan_860,0.006095
DecisionTree,neutral_mordred_GATS3d,0.005957
DecisionTree,neutral_mordred_MATS3dv,0.005688
DecisionTree,protonated_mordred_AETA_dBeta,0.005572
DecisionTree,protonated_mordred_GATS1c,0.005505
DecisionTree,protonated_mordred_PPSA4,0.005363
DecisionTree,neutral_mordred_MATS3s,0.005361
DecisionTree,neutral_mordred_ATSC1s,0.0053
DecisionTree,protonated_mordred_BCUTc-1l,0.005259
DecisionTree,protonated_rdkit_EState_VSA3,0.005068
DecisionTree,protonated_mordred_RNCS,0.005068
DecisionTree,neutral_mordred_MATS4s,0.005025
DecisionTree,protonated_mordred_GATS2s,0.004919
DecisionTree,protonated_mordred_MINdssC,0.004555
DecisionTree,morgan_106,0.00453
DecisionTree,protonated_rdkit_fr_Al_OH,0.00435
DecisionTree,morgan_404,0.004331
DecisionTree,protonated_rdkit_SlogP_VSA8,0.004293
DecisionTree,protonated_mordred_MATS2c,0.004144
DecisionTree,neutral_mordred_GATS2v,0.004029
DecisionTree,neutral_pm7_dipole_debye,0.003628
DecisionTree,neutral_mordred_TPSA,0.003474
DecisionTree,neutral_rdkit_MaxPartialCharge,0.003407
DecisionTree,protonated_mordred_nBase,0.003382
DecisionTree,morgan_939,0.003311
DecisionTree,neutral_mordred_GATS4m,0.003306
DecisionTree,neutral_mordred_MATS1v,0.003269
DecisionTree,protonated_mordred_AATS1p,0.003131
DecisionTree,morgan_693,0.003128
DecisionTree,neutral_mordred_ATSC1v,0.003055
DecisionTree,neutral_mordred_BIC3,0.003007
DecisionTree,neutral_mordred_PEOE_VSA8,0.003005
DecisionTree,neutral_mordred_AATSC1i,0.002956
DecisionTree,neutral_mordred_MATS4v,0.002944
DecisionTree,protonated_mordred_IC2,0.002915
DecisionTree,protonated_pm7_dipole_y,0.002872
DecisionTree,neutral_mordred_AATSC3s,0.002771
DecisionTree,protonated_mordred_PNSA5,0.002721
DecisionTree,protonated_mordred_NdssC,0.002602
DecisionTree,neutral_pm7_HOMO_eV,0.002537
DecisionTree,protonated_mordred_BIC2,0.002516
DecisionTree,protonated_mordred_GATS4c,0.002505
DecisionTree,neutral_mordred_GATS3p,0.00237
DecisionTree,neutral_mordred_GATS2m,0.002357
DecisionTree,protonated_mordred_DPSA3,0.00233
DecisionTree,neutral_mordred_AETA_dBeta,0.002324
DecisionTree,neutral_rdkit_MaxAbsEStateIndex,0.002323
DecisionTree,maccs_72,0.002318
DecisionTree,protonated_rdkit_SlogP_VSA12,0.002289
DecisionTree,maccs_45,0.002278
DecisionTree,protonated_mordred_BCUTd-1l,0.002191
DecisionTree,neutral_pm7_LUMO_eV,0.002158
DecisionTree,protonated_mordred_ATSC3Z,0.002152
DecisionTree,neutral_mordred_nBase,0.002135
DecisionTree,morgan_645,0.002123
DecisionTree,protonated_mordred_AATS1are,0.002121
DecisionTree,protonated_mordred_MATS5c,0.00189
DecisionTree,morgan_452,0.001872
DecisionTree,protonated_pm7_dipole_x,0.001809
DecisionTree,protonated_mordred_MINdsCH,0.001791
DecisionTree,neutral_mordred_AATS5i,0.001693
DecisionTree,morgan_715,0.001682
DecisionTree,morgan_123,0.001659
DecisionTree,neutral_mordred_ATSC2i,0.001657
DecisionTree,neutral_mordred_ATSC3are,0.001635
DecisionTree,neutral_rdkit_Kappa3,0.001591
DecisionTree,neutral_mordred_MATS2i,0.001574
DecisionTree,protonated_mordred_AATSC3Z,0.001566
DecisionTree,protonated_mordred_ATSC3se,0.001525
DecisionTree,neutral_mordred_MATS4d,0.001511
DecisionTree,protonated_rdkit_Kappa3,0.00148
DecisionTree,protonated_mordred_MDEN-33,0.00145
DecisionTree,protonated_mordred_ATSC1c,0.001445
RandomForest,protonated_rdkit_MinPartialCharge,0.115444
RandomForest,protonated_mordred_BCUTi-1l,0.076294
RandomForest,protonated_mordred_BCUTdv-1l,0.073284
RandomForest,protonated_mordred_BCUTs-1l,0.043839
RandomForest,dft_delta_ZPE_kjmol,0.042253
RandomForest,neutral_mordred_BCUTdv-1l,0.029222
RandomForest,neutral_mordred_NtN,0.029033
RandomForest,neutral_mordred_SMR_VSA2,0.018119
RandomForest,dft_delta_HOMO_LUMO_gap_eV,0.017079
RandomForest,protonated_mordred_BCUTi-1h,0.015569
RandomForest,protonated_pm7_LUMO_eV,0.012617
RandomForest,morgan_890,0.012499
RandomForest,protonated_rdkit_MaxAbsPartialCharge,0.011647
RandomForest,protonated_pm7_HOMO_LUMO_gap_eV,0.011444
RandomForest,protonated_mordred_BCUTc-1h,0.011198
RandomForest,neutral_mordred_GATS2s,0.010411
RandomForest,morgan_404,0.009515
RandomForest,neutral_mordred_MATS1are,0.009439
RandomForest,neutral_mordred_TPSA,0.008776
RandomForest,protonated_mordred_ATSC0c,0.008558
RandomForest,protonated_pm7_dipole_debye,0.007251
RandomForest,neutral_mordred_MATS1s,0.006611
RandomForest,protonated_rdkit_PEOE_VSA11,0.006503
RandomForest,neutral_mordred_MATS3d,0.006294
RandomForest,protonated_mordred_BCUTd-1l,0.005812
RandomForest,morgan_106,0.00559
RandomForest,neutral_mordred_ATSC2dv,0.005568
RandomForest,protonated_mordred_SddC,0.005565
RandomForest,protonated_mordred_GATS1c,0.005428
RandomForest,neutral_mordred_PEOE_VSA8,0.005292
RandomForest,neutral_mordred_MATS3dv,0.005224
RandomForest,neutral_mordred_ATSC1s,0.005171
RandomForest,protonated_rdkit_fr_Al_OH,0.004939
RandomForest,neutral_pm7_dipole_debye,0.004764
RandomForest,neutral_rdkit_BCUT2D_MRHI,0.004716
RandomForest,protonated_mordred_AATS1p,0.004665
RandomForest,neutral_pm7_LUMO_eV,0.004557
RandomForest,neutral_mordred_BIC3,0.004262
RandomForest,neutral_mordred_AETA_dBeta,0.003997
RandomForest,protonated_mordred_BCUTc-1l,0.003982
RandomForest,morgan_860,0.003949
RandomForest,neutral_mordred_BCUTd-1l,0.003843
RandomForest,neutral_mordred_MINtN,0.003813
RandomForest,protonated_mordred_PPSA4,0.003752
RandomForest,protonated_mordred_MATS2c,0.003744
RandomForest,protonated_mordred_MINdssC,0.003674
RandomForest,protonated_mordred_GATS4c,0.00362
RandomForest,neutral_rdkit_MinEStateIndex,0.003596
RandomForest,protonated_mordred_AETA_dBeta,0.003595
RandomForest,neutral_mordred_MATS4s,0.003568
RandomForest,protonated_rdkit_SlogP_VSA12,0.003548
RandomForest,neutral_mordred_GATS3d,0.003395
RandomForest,neutral_rdkit_SMR_VSA2,0.003324
RandomForest,neutral_rdkit_fr_methoxy,0.003307
RandomForest,morgan_950,0.003275
RandomForest,neutral_rdkit_Kappa3,0.003239
