model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
ExtraTrees,2.8599,0.2324,2.8599,0.2324,203.2
VotingEnsemble,2.9074,0.3181,2.9074,0.3181,203.2
RandomForest,2.9561,0.2601,2.9561,0.2601,203.2
XGBoost,3.0187,0.2982,3.0187,0.2982,203.2
CatBoost,3.0294,0.2527,3.0294,0.2527,203.2
LightGBM,3.0714,0.3216,3.0714,0.3216,203.2
GradientBoosting,3.1003,0.3105,3.1003,0.3105,203.2
MLP,3.3541,0.3386,3.3541,0.3386,203.2
BayesianRidge,3.5229,0.3096,3.5229,0.3096,203.2
Ridge,3.5835,0.2904,3.5835,0.2904,203.2
DecisionTree,3.9379,0.3752,3.9379,0.3752,203.2
Lasso,4.2195,0.252,4.2195,0.252,203.2
ElasticNet,4.3034,0.2812,4.3034,0.2812,203.2
AdaBoost,4.5438,0.2448,4.5438,0.2448,203.2
SVR,4.8718,0.4123,4.8718,0.4123,203.2
