record_id,neutral_smiles,pa_dft,pa_true,raw_dft_error
nist_00125011,,854.9268,844.1,10.826799999999935
nist_00396590,,860.2278,852.6,7.627799999999979
nist_00438872,,787.5196,786.0,1.5195999999999685
nist_00645122,,1007.0328,996.4,10.632799999999975
nist_00760896,,902.2561,882.3,19.956099999999992
nist_00804112,,959.2876,1046.3,-87.01239999999996
nist_00837453,,854.6652,845.6,9.065200000000004
nist_00905305,,1006.5675,1002.5,4.0674999999999955
nist_00927094,,890.8442,904.5,-13.6558
nist_00930813,,913.623,908.0,5.623000000000047
nist_01223463,,940.8967,940.3,0.5967000000000553
nist_01355247,,915.7352,903.4,12.335199999999986
nist_01387778,,878.3488,876.2,2.1487999999999374
nist_01410735,,852.2425,843.2,9.042499999999905
nist_01663744,,942.46,908.9,33.56000000000006
nist_01762105,,847.7362,848.8,-1.063799999999901
nist_01813910,,944.004,934.7,9.303999999999974
nist_01953252,,808.5309,818.9,-10.369100000000003
nist_02112727,,880.6911,866.6,14.091099999999983
nist_02204816,,841.8443,832.9,8.944299999999998
nist_02219190,,801.0654,790.4,10.665399999999977
nist_02234336,,781.3654,783.7,-2.334600000000023
nist_02244448,,910.3761,923.5,-13.123900000000049
nist_02477424,,984.7025,966.1,18.602499999999964
nist_02525694,,871.1351,851.8,19.33510000000001
nist_02544009,,793.5191,795.4,-1.880899999999997
nist_02593856,,635.692,676.8,-41.10799999999995
nist_02774099,,763.6503,765.7,-2.04970000000003
nist_02853497,,888.7258,870.6,18.125800000000027
nist_02863785,,994.6658,983.8,10.865800000000036
nist_03042087,,890.2412,890.9,-0.6587999999999283
nist_03128596,,838.6709,836.4,2.2708999999999833
nist_03202939,,925.8632,925.4,0.4632000000000289
nist_03355041,,884.7009,892.0,-7.299099999999953
nist_03374851,,991.7328,996.4,-4.66719999999998
nist_03617918,,921.8638,910.4,11.463799999999992
nist_03648145,,681.712,688.4,-6.687999999999988
nist_03690578,,795.6026,806.0,-10.397399999999948
nist_03881393,,953.9871,956.6,-2.612899999999968
nist_04021459,,929.7442,946.6,-16.855800000000045
nist_04085536,,844.5713,836.6,7.971299999999928
nist_04146605,,874.87,868.8,6.07000000000005
nist_04208386,,915.7811,885.1,30.681100000000015
nist_04360263,,967.9164,952.7,15.216399999999908
nist_04365347,,920.5703,921.5,-0.9297000000000253
nist_04459242,,803.2161,876.7,-73.48390000000006
nist_04494467,,806.6455,845.5,-38.85450000000003
nist_04553846,,867.2342,863.6,3.6341999999999643
nist_04671501,,985.7059,982.6,3.1059000000000196
