model,feature,importance
DecisionTree,dft_delta_ZPE_kjmol,0.222987
DecisionTree,dft_neutral_freq_max_cm,0.219357
DecisionTree,dft_delta_HOMO_LUMO_gap_eV,0.177782
DecisionTree,dft_delta_dipole_debye,0.143826
DecisionTree,dft_neutral_n_basis,0.071993
DecisionTree,dft_neutral_n_low_freq,0.044201
DecisionTree,dft_prot_H_total_Ha,0.042726
DecisionTree,dft_prot_ZPE_kjmol,0.032252
DecisionTree,dft_neutral_freq_min_cm,0.026055
DecisionTree,dft_neutral_n_electrons,0.018822
RandomForest,dft_neutral_freq_max_cm,0.185396
RandomForest,dft_delta_ZPE_kjmol,0.182235
RandomForest,dft_delta_HOMO_LUMO_gap_eV,0.17473
RandomForest,dft_delta_dipole_debye,0.170273
RandomForest,dft_neutral_n_basis,0.09717
RandomForest,dft_prot_H_total_Ha,0.047441
RandomForest,dft_neutral_freq_min_cm,0.047187
RandomForest,dft_prot_ZPE_kjmol,0.038248
RandomForest,dft_neutral_n_low_freq,0.034362
RandomForest,dft_neutral_n_electrons,0.022959
ExtraTrees,dft_delta_ZPE_kjmol,0.176557
ExtraTrees,dft_neutral_freq_max_cm,0.170752
ExtraTrees,dft_delta_dipole_debye,0.167548
ExtraTrees,dft_delta_HOMO_LUMO_gap_eV,0.150183
ExtraTrees,dft_neutral_n_basis,0.107345
ExtraTrees,dft_neutral_n_low_freq,0.077301
ExtraTrees,dft_neutral_freq_min_cm,0.047566
ExtraTrees,dft_prot_H_total_Ha,0.041754
ExtraTrees,dft_prot_ZPE_kjmol,0.030867
ExtraTrees,dft_neutral_n_electrons,0.030127
GradientBoosting,dft_delta_ZPE_kjmol,0.224951
GradientBoosting,dft_neutral_freq_max_cm,0.206236
GradientBoosting,dft_delta_HOMO_LUMO_gap_eV,0.181085
GradientBoosting,dft_delta_dipole_debye,0.149033
GradientBoosting,dft_neutral_n_basis,0.083916
GradientBoosting,dft_prot_H_total_Ha,0.049061
GradientBoosting,dft_neutral_freq_min_cm,0.035366
GradientBoosting,dft_prot_ZPE_kjmol,0.034244
GradientBoosting,dft_neutral_n_low_freq,0.021656
GradientBoosting,dft_neutral_n_electrons,0.014452
AdaBoost,dft_delta_ZPE_kjmol,0.274398
AdaBoost,dft_neutral_n_basis,0.155256
AdaBoost,dft_neutral_freq_max_cm,0.150503
AdaBoost,dft_delta_dipole_debye,0.113811
AdaBoost,dft_delta_HOMO_LUMO_gap_eV,0.110262
AdaBoost,dft_prot_H_total_Ha,0.053399
AdaBoost,dft_prot_ZPE_kjmol,0.052458
AdaBoost,dft_neutral_freq_min_cm,0.043786
AdaBoost,dft_neutral_n_electrons,0.030949
AdaBoost,dft_neutral_n_low_freq,0.015178
