model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
ExtraTrees,3.1738,0.2371,3.1738,0.2371,7.6
CatBoost,3.2168,0.1816,3.2168,0.1816,7.6
RandomForest,3.228,0.2777,3.228,0.2777,7.6
VotingEnsemble,3.3025,0.1541,3.3025,0.1541,7.6
SVR,3.3648,0.2198,3.3648,0.2198,7.6
GradientBoosting,3.3912,0.1509,3.3912,0.1509,7.6
XGBoost,3.5036,0.2707,3.5036,0.2707,7.6
LightGBM,3.531,0.1527,3.531,0.1527,7.6
MLP,3.6097,0.3066,3.6097,0.3066,7.6
ElasticNet,3.694,0.1998,3.694,0.1998,7.6
Lasso,3.6957,0.1968,3.6957,0.1968,7.6
BayesianRidge,3.7021,0.2003,3.7021,0.2003,7.6
Ridge,3.7288,0.2046,3.7288,0.2046,7.6
DecisionTree,4.3697,0.6375,4.3697,0.6375,7.6
AdaBoost,5.2695,0.2213,5.2695,0.2213,7.6
