model,feature,importance
ExtraTrees,protonated_rdkit_MinPartialCharge,0.02499
ExtraTrees,protonated_rdkit_fr_Al_OH,0.022578
ExtraTrees,protonated_rdkit_MaxAbsPartialCharge,0.02008
ExtraTrees,protonated_mordred_BCUTi-1l,0.017834
ExtraTrees,protonated_mordred_BCUTdv-1l,0.014207
ExtraTrees,neutral_mordred_NdsssP,0.013998
ExtraTrees,neutral_mordred_SMR_VSA2,0.013647
ExtraTrees,maccs_29,0.013567
ExtraTrees,protonated_mordred_BCUTs-1l,0.013272
ExtraTrees,morgan_360,0.012272
ExtraTrees,protonated_mordred_nP,0.011877
ExtraTrees,protonated_rdkit_fr_Ar_OH,0.010738
ExtraTrees,neutral_mordred_NtN,0.010179
ExtraTrees,maccs_99,0.010122
ExtraTrees,protonated_mordred_ATSC0c,0.010014
ExtraTrees,morgan_404,0.009658
ExtraTrees,neutral_mordred_NtsC,0.009471
ExtraTrees,neutral_mordred_SddssS,0.008975
ExtraTrees,protonated_mordred_BCUTv-1l,0.008482
ExtraTrees,protonated_mordred_AATS1p,0.008447
ExtraTrees,maccs_81,0.008145
ExtraTrees,neutral_mordred_MATS1are,0.006927
ExtraTrees,neutral_mordred_PPSA5,0.006906
ExtraTrees,neutral_mordred_SsSH,0.006729
ExtraTrees,neutral_mordred_MATS1s,0.006697
ExtraTrees,neutral_mordred_nP,0.00661
ExtraTrees,maccs_142,0.006459
ExtraTrees,protonated_mordred_PPSA4,0.006431
ExtraTrees,protonated_mordred_BCUTc-1l,0.006198
ExtraTrees,protonated_mordred_PPSA3,0.006023
ExtraTrees,maccs_65,0.005884
ExtraTrees,maccs_124,0.005853
ExtraTrees,neutral_mordred_TPSA,0.005838
ExtraTrees,neutral_mordred_AXp-1dv,0.005826
ExtraTrees,neutral_mordred_GATS2s,0.005669
ExtraTrees,neutral_mordred_ATSC1s,0.005554
ExtraTrees,maccs_157,0.005496
ExtraTrees,neutral_mordred_BCUTdv-1h,0.00549
ExtraTrees,protonated_mordred_ATSC1c,0.00546
ExtraTrees,maccs_73,0.005429
ExtraTrees,neutral_rdkit_fr_methoxy,0.005385
ExtraTrees,protonated_rdkit_PEOE_VSA11,0.005194
ExtraTrees,maccs_80,0.005069
ExtraTrees,maccs_76,0.005044
ExtraTrees,neutral_mordred_BIC3,0.004934
ExtraTrees,protonated_mordred_nBase,0.004861
ExtraTrees,protonated_mordred_BCUTc-1h,0.004784
ExtraTrees,neutral_mordred_TopoPSA,0.004556
ExtraTrees,neutral_mordred_MINtN,0.004468
ExtraTrees,neutral_rdkit_MaxEStateIndex,0.004439
ExtraTrees,neutral_mordred_GATS2m,0.004359
ExtraTrees,neutral_rdkit_NumHAcceptors,0.00428
ExtraTrees,neutral_mordred_n6HRing,0.004277
ExtraTrees,morgan_1022,0.004232
ExtraTrees,protonated_mordred_MATS1s,0.004182
ExtraTrees,neutral_mordred_MATS3dv,0.004154
ExtraTrees,maccs_48,0.004121
ExtraTrees,morgan_843,0.004077
ExtraTrees,neutral_mordred_ATSC1m,0.004033
ExtraTrees,neutral_rdkit_SMR_VSA2,0.004018
ExtraTrees,neutral_rdkit_MinEStateIndex,0.003994
ExtraTrees,maccs_113,0.003988
ExtraTrees,protonated_mordred_PEOE_VSA13,0.003967
ExtraTrees,morgan_111,0.003959
ExtraTrees,morgan_841,0.003956
ExtraTrees,protonated_mordred_RNCS,0.003902
ExtraTrees,protonated_rdkit_SlogP_VSA12,0.003863
ExtraTrees,neutral_rdkit_fr_nitrile,0.003842
ExtraTrees,protonated_mordred_NdsssP,0.003836
ExtraTrees,protonated_mordred_IC2,0.00373
ExtraTrees,neutral_mordred_MINdO,0.003645
ExtraTrees,protonated_mordred_MATS2c,0.003552
ExtraTrees,maccs_34,0.003495
ExtraTrees,protonated_mordred_BIC3,0.003494
ExtraTrees,morgan_950,0.003492
ExtraTrees,morgan_4,0.003443
ExtraTrees,morgan_106,0.003407
ExtraTrees,neutral_mordred_MINtsC,0.003396
ExtraTrees,protonated_rdkit_fr_pyridine,0.003395
ExtraTrees,protonated_mordred_DPSA3,0.003305
ExtraTrees,neutral_mordred_GATS2Z,0.003296
ExtraTrees,neutral_mordred_ATS8m,0.003287
ExtraTrees,neutral_mordred_MATS4d,0.003284
ExtraTrees,maccs_156,0.003223
ExtraTrees,protonated_rdkit_fr_NH1,0.003192
ExtraTrees,morgan_486,0.003181
ExtraTrees,neutral_rdkit_Kappa3,0.003173
ExtraTrees,protonated_rdkit_TPSA,0.003133
ExtraTrees,protonated_mordred_MINdssC,0.003131
ExtraTrees,maccs_107,0.003108
ExtraTrees,maccs_67,0.003097
ExtraTrees,morgan_452,0.003027
ExtraTrees,protonated_mordred_ATSC2p,0.003001
ExtraTrees,neutral_mordred_GATS1d,0.002963
ExtraTrees,neutral_mordred_SssO,0.00295
ExtraTrees,protonated_mordred_ATSC1Z,0.002929
ExtraTrees,morgan_123,0.002926
ExtraTrees,neutral_mordred_n10Ring,0.002917
ExtraTrees,neutral_mordred_SpMAD_A,0.002916
ExtraTrees,neutral_mordred_PEOE_VSA9,0.002822
